toxic,nontoxic,bart,custom_transformer,bart_rouge1,bart_rouge2,bart_rougeL,bart_rougeLsum,bart_meteor,bart_bleu,bart_wer,custom_transformer_rouge1,custom_transformer_rouge2,custom_transformer_rougeL,custom_transformer_rougeLsum,custom_transformer_meteor,custom_transformer_bleu,custom_transformer_wer,toxic_toxicity,nontoxic_toxicity,bart_toxicity,custom_transformer_toxicity
We want semen.,we want the seed.,we want semen.,we want jokes.,0.571,0.4,0.571,0.571,0.765,0.0,0.5,0.571,0.4,0.571,0.571,0.522,0.0,0.5,0.4756,0.001,0.8344,0.0063
I will enjoy turning him into a monkey's breakfast.,I really enjoy his transformation in a monkey breakfast.,I'll enjoy turning him into a little breakfast.,i 'll be careful of him into a prisoner.,0.444,0.0,0.444,0.444,0.372,0.0,0.667,0.222,0.0,0.222,0.222,0.15,0.0,0.889,0.0209,0.0815,0.0004,0.0416
Turns out Lemon Breeland is just as anal and uptight as everyone thinks.,"turns out Lemon Breeland is really uptight and pedantic, as everyone thinks.",it's quite apparent that Lemon Breeland is as much as everyone thinks.,prick called one animal as mrs. anderson guess he thinks.,0.48,0.348,0.48,0.48,0.494,0.259,0.667,0.182,0.0,0.182,0.182,0.187,0.0,0.917,0.0002,0.0002,0.0013,0.0154
"We're going to put in new numbers, and learn them as fast as we can... and we're going to yank out all that junk.",we'll add new numbers and we'll teach them as quickly as possible... and all this nonsense will go out.,we'll put new numbers in there and learn them as fast as we can... and,"we 'll put you in new york , and we can learn so much as we can eat it.",0.541,0.171,0.486,0.486,0.456,0.149,0.737,0.308,0.108,0.308,0.308,0.176,0.0,1.0,0.0002,0.0129,0.0022,0.0145
"Even in the play of light over the features, it remained dumb and dead.","even in the play of light, the head was silent and dead.","even in the play of light over the features, he remained speechless and dead.","even in the play of stage , it 's just good and dead.",0.692,0.5,0.692,0.692,0.756,0.403,0.5,0.583,0.455,0.583,0.583,0.588,0.366,0.5,0.0002,0.0016,0.0012,0.0625
Do I have to answer that crap?,do I have to answer that question?,do I have to answer this?,do i have to answer that?,0.769,0.727,0.769,0.769,0.745,0.558,0.286,0.923,0.909,0.923,0.923,0.876,0.729,0.286,0.0001,0.0015,0.001,0.0009
Stupid. Jesus Christ!,Jesus Christ!,Jesus Christ!,"oh , my god.",1.0,1.0,1.0,1.0,0.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0023,0.0002,0.0002,0.0003
Many a human had been frightened on seeing its huge goggle eyes in the fog or when stumbling over its slimy body as it crawled around seeking garbage and crap.,"they had frightened a lot of people who had glimpsed their huge bulging eyes in the mist, or stumble on the slippery body between the garbage.","many a human has been spooked by the fog, or when they struggle to search his","many times had a match in the wall as a moment , i thought in the eyes of their breath or when they were able to",0.19,0.0,0.143,0.143,0.19,0.0,0.885,0.392,0.041,0.196,0.196,0.198,0.0,0.885,0.0013,0.0052,0.0002,0.0015
By the way... ...if there's a difference between this$100 champagne and the crap for $29... ...it takes a more delicate palatethan mine to detect it.,"if there's a difference between this champagne for $1 00 and those slivers in the $29 supermarket, I can't tell him.","by the way, if there's a difference between $100 champagne and $29, it","by the way , if it 's a difference between my difference between my difference and wine.",0.541,0.286,0.486,0.486,0.459,0.176,0.81,0.359,0.162,0.308,0.308,0.224,0.0,1.0,0.0964,0.0002,0.0003,0.001
"That miserable man would seem for a time to have become convinced of his errors, when far removed from the scenes of his old offences, and to have lived a peaceable and honest life.","he would seem to have fully realised his error in time when he lived far from his old offense, and that he led a life of peaceful and honorable one.","for some time he may have become convinced of his mistakes, when far from the scene","that 's a bad guy would have tried to steal a mistake , when his mistake was wearing saturday when was working.",0.348,0.045,0.261,0.261,0.191,0.0,0.9,0.275,0.0,0.157,0.157,0.145,0.0,0.967,0.0001,0.0007,0.0002,0.1276
"Yes he's obnoxious, but he's charming.","yes, he is annoying, but he's also charming.","yes, but it's very charming.","yes , he has n't crime , but he 's designed.",0.533,0.0,0.533,0.533,0.441,0.0,0.625,0.526,0.353,0.526,0.526,0.649,0.0,1.125,0.0001,0.0015,0.0003,0.1026
"Dammit the hell, I don't know what to say.","hell, I don't know what to say.",I don't know what to say.,i do n't know what to say.,0.933,0.923,0.933,0.933,0.816,0.751,0.143,0.75,0.571,0.75,0.75,0.816,0.478,0.429,0.0001,0.0008,0.0002,0.0002
"Is it my tiny, filthy whore?",is this my little naughty little woman?,is that my little girl?,"is that my wallet , huh?",0.5,0.2,0.5,0.5,0.256,0.0,0.571,0.333,0.0,0.333,0.333,0.19,0.0,0.714,0.6974,0.102,0.0013,0.0006
But where the fuck was it now?,but where the hell is he?,but where's he now?,but where was it now?,0.545,0.222,0.545,0.545,0.457,0.0,0.833,0.364,0.222,0.364,0.364,0.37,0.0,0.667,0.0002,0.3692,0.0002,0.0002
"Yo, mrs. D. Be stealing shit.",Mrs. D. 's stealing.,"hey, Mr. D. Be stealing.",mrs. wallace.,0.444,0.0,0.444,0.444,0.491,0.0,0.75,0.333,0.0,0.333,0.333,0.208,0.0,0.75,0.9566,0.7514,0.0185,0.0038
"How the hell are you, man?","how you doing, man?","how you doing, man?","how are you doing , man?",1.0,1.0,1.0,1.0,0.998,1.0,0.0,0.889,0.571,0.889,0.889,0.965,0.643,0.75,0.0001,0.0005,0.0005,0.001
"And Cyclops unloads a devastating laser beam attack, scorching the face of Witch Bitch !","and the cyclone triggers the devastating attack by the laser beam, the searing face of the Wizard!","and Cyclops aim a deadly laser beam, attacking the face of the witch!",and steam turns left the influence of his face.,0.467,0.214,0.467,0.467,0.48,0.0,0.647,0.308,0.0,0.231,0.231,0.11,0.0,0.824,0.9981,0.0021,0.0856,0.0046
The three little pigs were devoured by the big bad wolf. The big bad wolf was brought to the court.,"the big bad wolf ate three little pigtails, for which he had to go to court.",the three little pigs were being eaten by the big bad wolf.,three ...... the three cotton were to the bad idea that the video was able to brought the court.,0.429,0.308,0.286,0.286,0.384,0.163,0.812,0.353,0.0,0.294,0.294,0.264,0.0,1.0,0.0001,0.0014,0.0001,0.0527
How the hell do you know?,how do you know?,how do you know?,how do you know?,1.0,1.0,1.0,1.0,0.996,1.0,0.0,1.0,1.0,1.0,1.0,0.996,1.0,0.0,0.0002,0.0096,0.0096,0.0096
"I know that he was some kind of friend of the family... ...growing up, all that, so I'm sorrythe old bastard shot himself... ...but we still got MacMurphyand his boys to deal with.","I know he was, in some way, a friend of your family...... growing up with you and all, so I'm sorry he shot himself...... but we're still in the manhunt and his boys.","I know he was a kind of friend of ours as he grew up, but we still","i know he was a lot of friend of your family , so i 've been in that old.",0.462,0.2,0.423,0.423,0.314,0.034,0.758,0.453,0.275,0.453,0.453,0.326,0.066,0.758,0.0007,0.0001,0.0001,0.0007
"Told her if I catch her doing that shit again, I'm taking Keisha.","I told her that when I catch her doing these things again, I'll take Keisha.","I told her if I catch her doing it again, I'll take Keisha.","if she told her if i catch her things , i 'm taking take them again.",0.8,0.643,0.8,0.8,0.783,0.505,0.267,0.581,0.207,0.516,0.516,0.535,0.0,0.733,0.0075,0.0022,0.46,0.0358
Maybe I'll come back... later... after you finish sticking that needle into baldy's skull.,maybe I'll come back later when you stop turning the needles into the bald guy's skull.,I'll come back...... after you've put the needle into my skull.,"maybe i 'll come back , after everything you took some heart into jail 's wife.",0.516,0.207,0.516,0.516,0.543,0.0,0.688,0.485,0.258,0.485,0.485,0.474,0.0,0.812,0.389,0.1231,0.0341,0.217
"God, you're ignorant!","God, I forgot!","oh, my God.","god , you 're not!",0.333,0.0,0.333,0.333,0.2,0.0,1.0,0.286,0.0,0.286,0.286,0.501,0.0,1.667,0.0001,0.0001,0.0002,0.0318
I knew it. I knew I shouldn't have fucking gone to her last year.,I knew I shouldn't go to her last year.,I knew I shouldn't have gone to her last year.,i knew i should n't have gone in her last year.,0.857,0.737,0.857,0.857,0.988,0.588,0.222,0.636,0.4,0.636,0.636,0.889,0.307,0.556,0.0001,0.0001,0.0001,0.0003
"When I come down, I'm gonna smack you.","when I get off, I'll show you.","when I come in, I'll be on you.","when i come down , i 'll put you on the element.",0.588,0.267,0.588,0.588,0.771,0.0,0.571,0.526,0.235,0.526,0.526,0.728,0.0,1.429,0.0002,0.0004,0.001,0.0022
"I love that shit, man.","I love it, man.","I love it, man.","i love this thing , man.",1.0,1.0,1.0,1.0,0.998,1.0,0.0,0.667,0.286,0.667,0.667,0.793,0.0,0.75,0.0001,0.0001,0.0001,0.0002
"I am Hetan, and these are my miserable brothers, Cafal and Netok.",I am Hetan and the two are my bad brothers Cafal and Intok.,"I'm Hetan, and these are my brothers: Cafal and Netok.","i 'm wearing the unhappy and the brothers , and spring.",0.667,0.364,0.667,0.667,0.492,0.0,0.615,0.435,0.095,0.435,0.435,0.309,0.0,0.692,0.1109,0.0672,0.0002,0.0386
'Cause you lost your old crappy job?,because you lost your old job?,because you lost your job?,because you lost your old job?,0.909,0.667,0.909,0.909,0.853,0.512,0.167,1.0,1.0,1.0,1.0,0.999,1.0,0.0,0.0001,0.0008,0.0007,0.0008
she means one of you morons.,he means one of you guys.,he means one of you.,he means one of you.,0.909,0.889,0.909,0.909,0.853,0.673,0.333,0.909,0.889,0.909,0.909,0.853,0.673,0.333,0.4058,0.0013,0.0015,0.0015
Or some shit in it that'il fix the time machine.,or something like that to put the time machine on course.,or something that'll fix the machine.,or some thing in the dry off the time machine!,0.556,0.125,0.556,0.556,0.368,0.0,0.727,0.381,0.211,0.381,0.381,0.315,0.0,0.818,0.0018,0.0008,0.0002,0.0017
My semen is going to go to my head?,sperm enters my head?,does semen go to my mind?,my students are going to go to my head?,0.2,0.0,0.2,0.2,0.566,0.0,1.25,0.308,0.182,0.308,0.308,0.535,0.0,1.75,0.0137,0.0002,0.0093,0.0002
Somebody wanna call a goddamn paramedic?,somebody call an ambulance!,is that what someone wants to call a paramedic?,someone wants to call an ambulance?,0.154,0.0,0.154,0.154,0.091,0.0,2.0,0.6,0.5,0.6,0.6,0.566,0.0,1.0,0.0002,0.0002,0.0001,0.0001
Let me win. My wife thinks I'm a wimp.,my wife thinks I'm weak.,"let me win, my wife thinks I'm a skater.",i 'm my wife i 'm wearing a reporter.,0.625,0.571,0.625,0.625,0.785,0.248,1.0,0.533,0.308,0.533,0.533,0.611,0.0,1.4,0.0002,0.0001,0.0001,0.0125
You really look like shit today.,"you look terrible today, Leonard.",you look good today.,you really look like anything today.,0.667,0.286,0.667,0.667,0.464,0.0,0.6,0.545,0.0,0.545,0.545,0.286,0.0,0.8,0.0001,0.0049,0.0003,0.0087
"Peter, damn it, no!","Peter, come on!","Peter, no!","peter , no , no!",0.4,0.0,0.4,0.4,0.522,0.0,0.667,0.333,0.0,0.333,0.333,0.294,0.0,1.667,0.0001,0.0001,0.0001,0.0005
You telling me that the thing ain't creeping the shit out of you?,are you telling me that thing doesn't scare you a little bit?,you're telling me it's not creeping out of you?,you told me that 's why you do n't give me the thing out of her own words?,0.333,0.091,0.333,0.333,0.27,0.0,0.833,0.375,0.067,0.25,0.25,0.367,0.0,1.333,0.0002,0.0006,0.0002,0.0052
You'il be gone out of my head.,you won't be in my head anymore.,you won't be in my head anymore.,you 'll be out of my head.,1.0,1.0,1.0,1.0,0.999,1.0,0.0,0.533,0.154,0.533,0.533,0.418,0.0,0.714,0.0189,0.0054,0.0054,0.3769
"I mean, if he doesn't, he's just a big old doodie-head.","I mean, if he doesn't, he's an old mutt.","I mean, if he doesn't, it'll be a big old stallion.","i mean , if he does n't just be a sad old - old.",0.583,0.455,0.583,0.583,0.66,0.46,0.556,0.5,0.273,0.5,0.5,0.488,0.268,1.111,0.0003,0.9996,0.0001,0.1242
You want a shot?,do you want a drink?,you want a shot?,you want a mess?,0.667,0.571,0.667,0.667,0.636,0.0,0.4,0.667,0.571,0.667,0.667,0.636,0.0,0.4,0.0002,0.0002,0.0012,0.0018
"If I don't dare, everyone dies.","if he didn't dare, everyone would die.","if I don't dare, everyone will be dead.","if i do n't dare , everyone will.",0.471,0.267,0.471,0.471,0.557,0.0,0.714,0.5,0.286,0.5,0.5,0.568,0.0,1.0,0.0002,0.0013,0.0002,0.0144
"You read the paper, you'd think all baby deers were killers.","you read the papers, and you'll think they're all round-the-clock killers.","if you read the paper, you'd think all the baby deers were killers.","you read the paper , you 'd think of all baby were gone.",0.552,0.148,0.552,0.552,0.549,0.0,0.818,0.444,0.16,0.444,0.444,0.552,0.0,0.727,0.0002,0.0002,0.0002,0.0029
But he has never said he regretted his whore-mongering.,but he never said he would regret his shoplifting.,but he never said he regretted doing it.,but he has never said he was screaming as his voice.,0.588,0.533,0.588,0.588,0.679,0.418,0.444,0.6,0.333,0.6,0.6,0.622,0.0,0.556,0.0506,0.0057,0.0019,0.0007
"No, that's silly. Leave him home.","no, no. Leave him at home.",leave him home.,"no , that 's going to leave him home.",0.667,0.286,0.667,0.667,0.441,0.0,0.5,0.571,0.167,0.571,0.571,0.562,0.0,1.167,0.0001,0.0003,0.0011,0.0354
Porky pig?!,pork pork!,a little pig?,bloody drug?,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0006,0.0028,0.0002
We'll fly you back to a state without the death penalty.,we will send you to a state that does not have a death sentence.,we'll fly you back to a state without the death penalty.,we 'll fly you back to a state without a semi - united states.,0.462,0.167,0.462,0.462,0.236,0.0,0.714,0.444,0.16,0.444,0.444,0.382,0.0,0.714,0.0044,0.3027,0.2382,0.1372
Was this before or after you kill him?,was that before or after you killed him?,was it before or after?,did it before you get before him?,0.615,0.364,0.615,0.615,0.513,0.0,0.625,0.4,0.0,0.4,0.4,0.355,0.0,0.75,0.0032,0.0026,0.0006,0.0023
"Colonel John Rico, for incompetence of command... ... assault on a superior officer,and willful negligence... ... resulting in the deaths of severalsoldiers under your command... ... you are sentenced to hangby the neck until you are dead.","Colonel John Rico, for disobeying orders...... assaulting a superior officer, and recklessly negligent...... that resulted in the death of several soldiers under your command...... you are sentenced to death by hanging.","Colonel John Rico, for his offense against a superior officer, and his willful indifference to","colonel 's hanging , by the secretary , the shipment ... and means a group.",0.391,0.273,0.391,0.391,0.311,0.056,0.71,0.279,0.0,0.093,0.093,0.129,0.0,0.935,0.1682,0.1761,0.0121,0.0263
"Man, if Bud goes along with this, they're gonna have to shoot her with a tranquilliser gun.","man, if Buda Ukecaji, they'll have to put a narcotics rifle on her.","if Bud goes along with her, they'll have to shoot her with a tranquilliser","dude , if bud gets the whole way , they 'll have to get her a gun with a gun.",0.483,0.222,0.414,0.414,0.487,0.177,0.923,0.438,0.2,0.375,0.375,0.539,0.0,1.231,0.0001,0.5274,0.0002,0.1046
It's fucking empty!,it's empty!,it's empty!,it 's empty!,1.0,1.0,1.0,1.0,0.992,0.0,0.0,1.0,1.0,1.0,1.0,0.992,0.0,1.0,0.0001,0.0001,0.0001,0.0014
"I don't know who came out of that cellar, but it sure as shit wasn't Dave!","I don't know who came out of the basement, but it sure wasn't Dave!","I don't know who came out of the cellar, but it was definitely Dave.","i do n't know who came out of this bar , but it was n't sure.",0.774,0.621,0.774,0.774,0.822,0.542,0.286,0.667,0.387,0.606,0.606,0.773,0.303,0.571,0.0001,0.0001,0.0001,0.0001
You big mouth!,big mouth!,with your big mouth!,you big language!,0.667,0.5,0.667,0.667,0.92,0.0,1.0,0.4,0.0,0.4,0.4,0.323,0.0,1.0,0.0001,0.0994,0.0378,0.0002
Are you saying you don't owe me any fucking money?,so you're telling me you don't owe me any money anymore?,you're saying you don't owe me any money?,do you care you 're asking me any money?,0.783,0.667,0.783,0.783,0.795,0.452,0.455,0.545,0.3,0.455,0.455,0.464,0.0,0.727,0.0001,0.0003,0.0002,0.0079
"I know, and he's a dirtbag.","I know, and it's homeless.","I know, and it's a dirt bag.","i know , and he 's just a bulletproof vest.",0.714,0.667,0.714,0.714,0.844,0.467,0.6,0.533,0.308,0.533,0.533,0.678,0.248,1.6,0.0003,0.0002,0.0002,0.0241
"If this guy is so pathetic he has to haggle, I should just do it.","if there's such a bad deal to bargain, I should do it.","if this guy wants to haggle, I should just do it.","if this guy is so sad he has to catch , i should just do it.",0.5,0.182,0.5,0.5,0.507,0.0,0.583,0.429,0.154,0.429,0.429,0.493,0.0,0.833,0.0001,0.0002,0.0002,0.0086
They would torture his ass a lot worse than we would.,they would have tortured him more than we would.,they would have treated him much worse than we did.,they would have done something worse than we 'd do.,0.632,0.353,0.632,0.632,0.475,0.0,0.444,0.526,0.353,0.526,0.526,0.422,0.0,0.556,0.0264,0.0118,0.0045,0.0949
It wasn't normal shit.,it wasn't normal stuff.,it's not normal.,it was n't normal.,0.444,0.0,0.444,0.444,0.254,0.0,1.0,0.6,0.25,0.6,0.6,0.82,0.0,0.75,0.0001,0.0003,0.0003,0.0002
Go over there and smash him in and I'll give you your weed.,"you go after him and give him one, then I'll give you your weed.",go over there and give you some weed.,go go somewhere and i 'll give him a cab and you 'll give it to him.,0.435,0.19,0.435,0.435,0.316,0.0,0.643,0.562,0.2,0.375,0.375,0.372,0.0,0.929,0.0018,0.0057,0.0414,0.0832
"Yeah, I'm not good with the snobs, but slutty's my bread and butter.","I'm not very good with snobs, but cougars are my daily bread.","yeah, I'm not good with that, but she's my bread and butter.","yeah , i 'm not good with the bunch of bread - and - butter bread.",0.593,0.24,0.593,0.593,0.587,0.0,0.667,0.462,0.25,0.462,0.462,0.493,0.0,1.083,0.9951,0.0002,0.0002,0.0004
"Dude, Jules is having a fucking party.",Jules is having a party.,"dude, Jules are having a party.","dude , jules is a party.",0.727,0.444,0.727,0.727,0.781,0.366,0.4,0.8,0.5,0.8,0.8,0.793,0.0,0.6,0.0001,0.0002,0.0004,0.0022
"Shit, he's military!",he's from the army!,he's from the military!,he 's military!,0.8,0.75,0.8,0.8,0.807,0.0,0.25,0.5,0.333,0.5,0.5,0.441,0.0,1.0,0.0027,0.0009,0.0004,0.0121
What the hell is this about?,what is that supposed to mean?,what's going on?,what 's going on?,0.2,0.0,0.2,0.2,0.147,0.0,1.0,0.2,0.0,0.2,0.2,0.147,0.0,0.833,0.0002,0.0003,0.0002,0.0058
Don't be foolish.,don't fool around.,please don't be foolish.,do n't be naive.,0.444,0.286,0.444,0.444,0.501,0.0,1.0,0.222,0.0,0.222,0.222,0.511,0.0,1.333,0.0002,0.0588,0.0009,0.0018
Then I'd get rid of 'em.,then I got rid of them.,then I'd get rid of them.,then i 'd get rid of them.,0.769,0.545,0.769,0.769,0.829,0.435,0.333,0.769,0.545,0.769,0.769,0.829,0.411,0.333,0.001,0.0001,0.0002,0.004
"""Love him, screw him...""","""to love him, to love him...""","""love him, love him...""",""" like him ,"" got him ...""",0.8,0.5,0.8,0.8,0.795,0.553,0.5,0.4,0.0,0.4,0.4,0.568,0.381,1.167,0.0001,0.0084,0.0032,0.1358
You haven't had sex with me.,you haven't had any fun with me.,he didn't have sex with me.,you have n't had courage like me.,0.4,0.154,0.4,0.4,0.501,0.0,0.714,0.5,0.143,0.5,0.5,0.662,0.0,0.714,0.8755,0.0009,0.1376,0.0114
I'm right fucking here!,I'm right here!,I'm right here!,i 'm right here!,1.0,1.0,1.0,1.0,0.996,1.0,0.0,1.0,1.0,1.0,1.0,0.996,0.0,0.667,0.0002,0.0002,0.0002,0.0011
"Yeah, it's always a damn coyote.",it's always a coyote.,"yeah, there's always a coyote.","yeah , it 's always a bunch.",0.727,0.667,0.727,0.727,0.803,0.411,0.5,0.727,0.667,0.727,0.727,0.781,0.0,1.25,0.0001,0.0003,0.0001,0.1661
"Wow, what a slut.",what a piece!,"hey, what a slut.","oh , my god.",0.571,0.4,0.571,0.571,0.446,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.333,0.9927,0.0001,0.9961,0.0003
"""Shut your mouth. Shut your mouth. I can't hear the radio.""","""be quiet, be quiet, I don't hear my radio!""","""close your mouth. I can't hear the radio.""",""" stop talking , i ca n't hear the radio. """,0.421,0.118,0.421,0.421,0.288,0.0,0.778,0.421,0.118,0.421,0.421,0.305,0.0,1.0,0.0001,0.0001,0.016,0.014
Now I'm sure - you've fucked someone!,I'm sure you had a man.,now I'm sure you've done it with someone!,now i 'm sure you 've got someone!,0.471,0.4,0.471,0.471,0.478,0.0,1.0,0.533,0.462,0.533,0.533,0.49,0.0,1.0,0.0002,0.0002,0.0002,0.0014
Are you nuts? I thought we were colleagues?,I thought we were colleagues.,I thought we were colleagues?,i thought we were colleagues?,1.0,1.0,1.0,1.0,0.83,0.76,0.2,1.0,1.0,1.0,1.0,0.83,0.76,0.2,0.0001,0.0001,0.0001,0.0002
I'd like to throw him... off the top of that building over there.,I'd like to drop him off the top of the building.,I'd like to get him off the top of that building.,i 'd like to throw him out of the door.,0.833,0.636,0.833,0.833,0.806,0.466,0.182,0.636,0.4,0.636,0.636,0.69,0.0,0.636,0.0002,0.0001,0.0001,0.004
"That dreadful woman with no eyebrows who wouldn't sit still, eh?","on the scary lady without an eyebrow, she didn't sit around for a moment?","a woman with no eyebrows who wouldn't sit still, huh?",the woman has n't done with a woman who would n't sit with?,0.231,0.083,0.154,0.154,0.257,0.0,0.929,0.267,0.071,0.2,0.2,0.223,0.0,0.929,0.9996,0.0024,0.9899,0.269
"Oh, my God, bitch.","oh, my God.","oh, my God.","oh , my god.",1.0,1.0,1.0,1.0,0.996,1.0,0.0,1.0,1.0,1.0,1.0,0.996,1.0,0.667,0.9997,0.0002,0.0002,0.0003
Wow. It's just frozen crap reheated.,it's frozen. Reheated.,it's just being reheated.,he 's just frozen bucks.,0.667,0.286,0.667,0.667,0.625,0.0,0.667,0.444,0.0,0.444,0.444,0.25,0.0,1.667,0.0001,0.0002,0.0002,0.0315
"At least they thought they were cops Hold on just a damn minute, are you trying to say cops did this?","the last thing the cops were thinking about was, what, are you trying to say the cops did this?","at least they thought they were policemen Hold on, are you trying to say the police did","at least they thought they were to hold on the cops , are trying to say this cops.",0.444,0.294,0.444,0.444,0.448,0.279,0.579,0.5,0.176,0.389,0.389,0.409,0.0,0.842,0.0001,0.0002,0.0001,0.0037
"With blood and fire, we'll throw Rabin out!","blood and fire, on Rabin's barrel!","with blood and fire, we'll get Rabin out!","with blood , the fire and show up the ground.",0.5,0.286,0.5,0.5,0.611,0.278,0.833,0.375,0.0,0.25,0.25,0.217,0.0,1.333,0.9684,0.0185,0.0063,0.0038
"You talking to me, jerk off?","are you talking to me, man?",are you talking to me?,"you 're talking to me , man?",0.909,0.889,0.909,0.909,0.755,0.57,0.333,0.833,0.6,0.833,0.833,0.865,0.707,0.667,0.0001,0.007,0.0018,0.0051
"Hey, asshole. Deal with me, not him.","dude, you're dealing with me, not with him.","just deal with me, not him.","hey , deal with me , not him.",0.533,0.308,0.533,0.533,0.547,0.283,0.5,0.533,0.308,0.533,0.533,0.6,0.295,0.75,0.0002,0.1969,0.1519,0.1334
