toxic,nontoxic,generated
I can't believe this shit!,I can't believe it.,I can't believe it.
"Stupid door. okay, that was Pep, Ail, Lala, Papi, Jr. wait a minute.","okay, he was Pep, Ail, Lala, Papi, Jr. wait.","hey, it was Pep, Ail, Lala, Papi,"
You fucked my wife?,and my wife?,did you do it with my wife?
"Well, Jeremy Travers is one dumb mother, you can guess the rest.","well, Jeremy Travers is a good-looking...... you can guess the rest.","well, Jeremy Travers is a very nice guy, you can guess the"
Whose stupid idea was this?,whose idea was this?,whose idea was that?
Have you ever tried that shit?.,have you ever tried it?,have you ever tried it?
What the fuck are you doing here?,what are you doing here?,what are you doing here?
"DiNozzo, get in the damn car!","DiNozzo, get in the car!","Dina, get in the car!"
"Here's the deal, Mr. Fuck You.","here's the deal, Mr. Naser.","here's the deal, Mr. Jeb."
"Sheboygan Lager, bitch!","Sheboygan Lager, man!",sheboygan Lager!
"Damn, Brad, what else you got hidden in the Humvee?",what else you got in the Humvee?,what else do you have in the Humvee?
"Say ""fuck me.""","say, ""Do it.""","say, ""Do it."""
"Fuck, man. Gotta do it faster.",go faster. We'll be there.,I have to do it faster.
"Stephanie, man. She really knows her shit. Hmm.",Stephanie knows what she's doing.,"Stephanie, man, she knows what she's saying."
Y'all wanna fuck with two dudes wearing Wilsons Leather black fucking coats?,anyone want to let go of two men in black coats from Wilsons Leather?,two guys wearing Wilsons Leathers?
Most of my customers are stupid people.,which is most of my customers.,the majority of my customers are.
Didn't you know how much I wanted to succeed in rock?? You bastard!!,didn't you know how much I wanted to succeed in rock?,don't you know how much I wanted to succeed in rock?
You give a fuck?,do you care?,you don't mind?
She's Mother-fucking Teresa.,it's Mother Teresa.,she's Mother Teresa.
"Fuck you too, Rudy.","you too, Rudy.","you too, Rudy."
What the fuck are you doing here?,what are you doing here?,what are you doing here?
Lucetta does whatever the fuck she wants.,Lucetta's doing what he wants.,Lucetta does what she wants.
So full of shit. RABBl: Few people knew and truly understood Jack as well as this man.,"few people really knew and understood Jack, like this man.","no, few people knew and really understood Jack as well as this man."
Stupid. Jesus Christ.,Jesus Christ!,Jesus Christ.
You know what I told your ass about that shit!,you know what I told you about!,you know what I told you about!
"You help yourself first. Bullshit, Teresa.","you, first of all, you're helping yourself!","you, first of all, you're helping yourself."
Donna showed her ass!,Donna showed up!,Donna showed her!
"No, Stephen, I cared about helping you. Bullshit.","no, Stephen, I wanted to help.","no, Stephen, I wanted to help."
"Well, what the fuck, dude?","what about it, man?","what are you doing, mate?"
"Fuck JT, why did you do this, man?","why did you do that, man?","JT, why did you do that?"
You believe that shit?,do you believe that?,can you believe it?
We sent someone to pick up this Adam Saber for questioning. Shit!,we sent someone to bring Adam Saber in for questioning.,we sent someone to get this Adam Saber for questioning.
James Bond shit.,James Bond.,James Bond stuff.
God damn it!,"oh, my God!","oh, my God."
Doesn't it matter that I care about the quality of the produce I sell you? That I'd be willing to risk an enormous argument just to save your dinner? - That was dumb.,"and the fact that I care about the quality of vegetables that I sell so much to you that I'm willing to risk a big fight just to save your dinner, don't you?",so it doesn't matter that I care about the quality of the produce I
"Molly, I don't understand how you could... ..swallow this crap.","Molly, I don't see how you could do this.","Molly, I don't understand how you could do this."
I even come and visit you. - Fuck you!,I've even come to see you.,I even came to visit with you.
After their first surprised outburst they were dumb.,"after the first blast of surprise, they were speechless.",after their first surprise.
Fuck you. You might be able to buy one in the gift shop.,but you can buy it at the gift shop.,you could buy one in the gift shop.
You fucking bastards! Why won't anyone help?,why doesn't anyone help him?,why can't anyone help us?
"Ok, you damn cop. This one's for you!","all right, cop, there you go!","okay, you're a cop!"
What the fuck you're doing here?,what are you doing here?,what are you doing here?
Your fucking' car!,look at the car!,your car!
Kill them all!,all of them!,even with all of them!
I'm not built for that shit.,I'm not built for that kind of thing.,I'm not built for it.
Let's see if this piece of shit will start.,let's see if this thing starts.,let's see if this thing will start.
The asshole is the one that gave you a license!,"he's the one who gave you your license, or the one who bought you this purse!",the cop who gave you a license!
"He's a big fuck, so he thinks he's got me.","he's a guy, so he thinks he got me.","he's big, so he thinks he's got me."
What the fuck is his problem?,what's wrong with him?,what is your problem?
Why do men do that shit?,why do men do it?,why do men do that?
What kind of a stupid pimp move is that?,what pimp would do something like that?,what kind of pimp move is this?
"Shut up, shut up.","quiet, quiet!","quiet, quiet."
"ln fact, he wants to be there to hear this shit.","in fact, he wants to be there and listen to me.","in fact, he wants to be there to hear it."
"Sarah, come here! - Idiot!","Sarah, come here!","Sarah, come here!"
Fuck Come on.,come on.,come on.
"Did you see sharks last time? Oh, fuck!",did you see the sharks when you were there?,did you see the sharks last time?
"Wow, thank you so much for being a bitch.","wow, thank you very much for being sure.",thank you so much for being nice.
"Get back in there, get your ass in the air, and fuck your husband.",go back and just hand it over with your husband.,"back in there, get up too, put your hands in the air, and"
Do you know how long I've been waiting for that shit?,do you know how long I've waited for this?,you know how long I've been waiting for this?
Keep all this shit!,you keep this whole thing.,keep it!
Why is that... Why are you stupid?,why... why do you mean?,why is that... Why are you so blunt?
"Damn, what happened to you?",what happened to you?,what happened to you?
"You talking all that shit, just do it.","you keep talking about it, so just do it.","if you're talking, just do it."
She's the one who sings that ridiculous song.,he's singing a song like that.,she's the one singing the funny songs.
"Bastard! - It's locked, we can not open it.",it's locked. We can't open it.,"it's locked, we can't open it."
"Come on, put, go get, shit!","come on, put this on.","come on, move it, go get things!"
The damn fools wanna play?,do they want to play?,do they want to play?
"Why, it's the only place we can take it, and the last place they're gonna look. Anyway, fuck it.",it's the only place we can put it and the last place they'll be looking.,"why, this is the only place we can take him, and the last place"
"Bart, isn't it dangerous to fly your kite Stupid kids! by an airport?","Bart, isn't it dangerous to fly a dragon next to the airport?","Bart, it's not dangerous to fly with your kids on the airport?"
"Stephanie, man, she really knows her shit.",Stephanie knows what she's doing.,"Stephanie, man, she knows what she's saying."
Did you see that shit?,did you see that?,did you see that?
"Jesus, what's your fucking problem?",what is your problem?,what is your problem?
Listen to this shit.,listen to this.,listen to this.
This is bullshit! I'm not serving in the goddamn national defense!,I'm not going to serve a national defense!,I'm not serving in the military!
Heather didn't even have that asshole's address.,Heather didn't even have an address.,heather didn't even have his address.
Why don't you save that shit for somebody who gives a fuck?,why don't you keep this for someone who's worth it?,why don't you save it for someone who cares?
Go the fuck move back there.,then go back there.,go back there.
"Never say anything cool, who writes this shit up!",she never told me anything nice and then comes up with this here!,"never say anything funny, who wrote this up!"
What the fuck are they doin' up there?,what are they doing up there?,what are they doing up there?
"Studying Torah, asshole.","I'm studying the Torah, Pipino.","I'm studying the Torah, Pipino."
He cold-cocks fucking Johnnie Marzzone.,he's a famous Johnnie Marzzone.,"he cold-blooded and stiff, Johnnie Marzzone."
All those nights you were late back and stupid cow here thought you were out looking for ajob!,"all those evenings when you were home late, and I thought you were looking for a job!","all those evenings when you were home late, and I thought you were looking for a job"
"I really don't know what you're talking about. Fuck you, Richard!",I really don't know what you're talking about.,I really don't know what you're talking about.
"Sign the damn contract, please.",please sign the contract.,you better sign this contract.
"No, I tried that shit.",I tried that. It didn't help.,"no, I tried it."
Isn't that fucked up?,isn't that great?,don't that get messed up?
"Man, that shit sounded good.","dude, it sounds good.","man, that sounded great."
"'A fine day for such stupidity,' said Gaise Macon, approaching the two men.","'Nice day for such a thing, 'said Gaise Macon, stepping forward to the two men.","""a fine day for such idiosyncrasies,"" said Gaise Macon, approaching the"
What the fuck are you talking about?,what are you talking about?,what are you talking about?
You lucky fuck.,you're lucky.,you're lucky.
"Come here, cunt!",come here!,come here!
Fuck. Jesus!,"oh, God.","oh, my God."
Or maybe just completely stupid.,or maybe it's too bad.,or maybe not completely.
Why'd they send that dipshit?,why did they send him here?,why did they send him here?
Pig!,bacon!,Pig!
"""Serious omertà shit.""","""serious reason for the omber.""","""Seriously, omertà."""
You believe in this heaven shit?,you believe those stories about the sky?,you believe in a heaven?
Halonen is a fat bitch. I wonder if he found a buyer for his toaster.,I wonder if he found a buyer for his toaster.,I wonder if he found a buyer for his toaster.
"I haven't put my finger on that shit yet, but there's something about you, man.","I'm still not up to it, but there's something about you.","I haven't put my finger on it yet, but there's something about you."
"I didn't choose shit, Ronny!","I didn't choose anything, Ronny.","no, Ronny, I didn't choose him."
Damn it. Look what you did.,look what you've done.,look what you've done.
I need that shit.,I don't need that.,I don't need this.
"Hey! Hardy, what the fuck are you doing?","Hardy, what are you doing?","hey, Hardy, what are you doing?"
"Well, fuck off and get it!",come on and get it!,go and get it!
"Let go! I can't believe I flew 10,000 miles for this shit!",I can't believe I flew thousands of miles for this.,I can't believe I flew thousands of miles for that!
Do your committee members know... what the fuck is going out with the garbage?,does your member committee know... what's going on with the bluebells?,do your committee members know what's going on with the merchandise?
"Come here, loser!",come here.,come here!
"Scum, come here.",come here.,come here.
That's bullshit.,that's messed up.,that's messed up.
Who the fuck are you?,"who are you, anyway?",what are you?
What the fuck is wrong with you?,what is your problem?,what's the matter with you?
"Guys, look, it's those whigga dicks!","guys, look, those are the buoys!","hey, look, it's the guys!"
I don't believe this shit.,I don't believe it.,I don't believe it.
"Oh, shit, Mike, you promised me.",you know what you promised me.,"Mike, you promised me."
"Your ass, you'll love it.",you'll love it!,you're gonna love this.
"Folks smell something cooking in that Crock-Pot, make them want to buy the fool thing.",people can feel something cooking in our cups and they'll want to buy them.,"the ovens smell something cooking in that Crock-Pot, making people want to"
Fuck me harder! ...speak to your supervisor.,I'll talk to your supervisor.,tell him harder!... speak to your supervisor.
"Fuck Beale Street, too.",and Beale Street too.,beale Street too.
Where did you find that shit?,where did you find this?,where'd you find this?
She's the biggest bitch in the universe!,it's the biggest one in the universe!,he's the biggest one in the universe!
I've heard enough! Shoot him.,I've heard enough!,I've heard enough!
"What a week, shit.",that was a week.,what a week!
With another fat envelope. - Shut up!,and another bold envelope.,with another fat envelope.
"I had him right where I wanted him, you asshole!",I had him exactly where I wanted him!,I had him where I wanted him.
I don't want a drink! Fuck you!,I don't want a drink!,I don't want a drink.
Idiot! I told you I don't speak Spanish.,I said I didn't speak Spanish.,I told you I didn't speak Spanish.
"Want to see, bitch?",you want to see?,what do you want to see?
"What the fuck, Seth?","what are you doing, Seth?","what are you doing, Seth?"
I can't believe my stupid friends won'ha out with me.,I can't believe my friends are party.,I can't believe my friends are playing with me.
Every emergency service in Chicago is talking about this shit.,every emergency in Chicago is talking about it.,every emergency service in Chicago is talking about this.
"Bullshit? Where have you been, Lieutenant?","where do you live, Lieutenant?","where have you been, Lieutenant?"
"Hold your fucking hand, huh?","what, holding your hand?","hold your hand, huh?"
"What, you just wanted to show off - - in front of your stupid Freshmen friends, didn't you?","you just wanted to show up...... in front of your friends, huh?","you just wanted to show up...... in front of your friends, huh?"
Bullshit ! We have not been lost today.,we didn't get lost today.,we have not been lost today.
ACCESS DENIED - Shit!,access denied.,the access was denied!
You girls want to get more fucked up than you've ever been in your squeaky little lives?,"so girls, you want to match up more than you've ever been?",you guys want to go more than you've ever been in your lives?
What the fuck are you doing?,what are you doing?,what are you doing?
Win that fucking race!,win the race.,win the race.
Do you know what you've done? You piece of shit!,do you realise what you've done?,do you realise what you've done?
"No, not there, stupid.","no, not there.","no, not there."
You're nuts! What if your wife saw them?,and if your wife finds them?,what if your wife had seen them?
"Chastity, fuck, I hope not.","God, I hope not.","Chastity, I hope not."
We got that fucker!,we got him!,we got him!
What did make? Damned!,what have you done?,what did you do?
"What'd you say your name was? You're dead, fucker.",what did you say your name was?,what did you say your name was?
"You sell your service to the highest bidder, won't you, you stinking maggot!",you'll sell it to whoever offers you the most!,"you're selling your service to the highest bidder, aren't you?"
Poor fool... ...don't you know I'm in love with you?,can't you see...... that I love you?,don't you know I'm in love with you?
Those guys are some tough bastards.,those guys are pretty tough.,those guys are tough.
Wall Street sucks!,Wall Street!,Wall Street's sublime!
Bullshit. You wanna talk about safe?,you want to talk about security?,you want to talk about safe?
"Listen, call Krispin. I'll lock up this asshole.","look, look, call Krispin, I'll get this one.","listen, I'll call Krispin."
"It's not just Paris: Britney Spears, Christina Aguilera, Tara Reid... they're all stupid spoiled whores!","not just Paris, but Britney Spears, Christina Aguilera, Tara Reid...","it's not just Paris, Britney Spears, Christina Aguilera, Tara Reid"
"But then last night, I see that, That moron, he's packing.","but last night, I saw the guy packing his bags.","but last night, I saw the guy packing his bags."
"You know what the fuck I'm talking about, Reggie!",you know what I'm talking about.,"you know what I'm talking about, Reggie!"
"But you get the feeling, as elegant as she is, If you dis her man, she will fuck your shit up.","but you get that sense of how elegant it is that if you act disrespectful to her husband, she'll accelerate you.","but you feel that as elegant as she is, if you don't have"
Where's your fucking boyfriend?,where's your friend?,where's your friend?
Chris already heard about this shit.,Chris has heard about it.,Chris has heard of it.
"Oh, she had the whole office under her thumb. Knew everyone's business, the sneaky bitch.","she had an entire office, she knew everything about everything.",she had the whole office under her thumb.
"Damn, dog. You good, ése?","dude, you okay?","dude, you okay?"
"Do you want to change your bullshit story, sir?","do you want to change your story, sir?","you want to change your story, sir?"
"Bullshit, I work here 3 years and I've never actually seen him, man.",I've worked here three years and I've never seen him before.,"I work here for three years, and I've never seen him in real."
Take the damn hat.,take your hat!,take the hat!
Who the fuck is Beth Mackey?,who's Beth Mackey?,who's Beth Mackey?
Bullshit. You haven't got him.,you didn't take him.,you don't have him.
Your fucking car...,because I followed your car.,your car...
"Let's do this shit, shall we?","let's go, shall we?","let's go, shall we?"
How the motherfucker get in?,how did he get in?,how did he get in?
You're going to your chicken shit college and me going to Yale.,"you're going to your school, and I'm going to Yale?","you're going to your school, and I'm going to Yale?"
They were all garbage. None of them had a sheet less than a mile long.,none of them had a record less than one mile.,none of them had a sheet less than a mile long.
Then what your dumb ass break up with her for?,then why did you break up with her?,then why did you break up with her?
"Jesus, fuck.","oh, my God.","oh, my God."
"Now you, jodie motherfucker, explain to me how it is you understand anything.","now, I want you to explain to me how you know it.","now you, jodie, explain to me how you don't understand anything."
"You call yourself a friend, you bastard.",you call yourself a friend?,you call yourself a friend.
Better check yourself for that shit.,you better watch this.,better watch out for yourself.
They live for this kind of shit.,they live for these things.,they live for this.
"Tomorrow, tell your grandfather that you want money instead of this crap.",tell your grandpa you want money again tomorrow.,"tomorrow, tell your grandfather you want money instead of this mess."
Why don't you ask the goddamn FBl?,then why don't you ask them?,why don't you ask Fbl?
Why doesn't anybody want this shit?,why doesn't anyone want that?,why doesn't anyone want it?
"Fuck! Gerry, man, are you sure?","Gerry, are you sure?","Gerry, man, are you sure?"
Are you still crying over that Chili Palmer shit? No.,is that Chili Palmer still taking you?,is that Chili Palmer still taking you?
Fucking Christ.,"oh, my God.","oh, my God."
"Look, I don't want these people judging Olive. Fuck them!",I don't want anyone judging Olive.,"look, I don't want people to judge Olive."
"She just pulled me right out of the crowd, said ""just put the neck brace on."" Ugh. Shit.",she just took me out of the crowd and told me to put it on.,"she just pulled me out of the crowd, ""Just put the neck brace on."""
I don't want to get involved. She is a whore.,I don't want to get involved.,I don't want to interfere in this mess.
"Known her since school, first kiss, all that fucking shit.","I knew her from school, first kiss and everything.","I knew her from school, first kiss and everything."
It's the damn program.,the problem is in the program.,it's for the program.
"Mitchum Huntzberger, class-a jerk.",Mitchum Huntzberger.,"Mitchum Huntzberger, class-five."
Enough with this bullshit talk.,enough with the talk.,enough talking about this.
"There's a lot going on here, Claire - No, you go to fucking hell!","there's a lot of things going on, Claire...","there's a lot going on here, Claire - No, you're in"
I didn't know the answer. - Bullshit!,I didn't know the answers.,I didn't know the answer to that.
They're still on us! Shit!,he's still holding on to us!,they're still with us!
"Fuck, that's fantastic!",this is fantastic!,that's fantastic!
I told you I'm trying to make that shit up to you.,I told you I'm trying to make it up to you.,I told you I'm trying to make it up to you.
"You call yourself a friend, bastard!",you call yourself a friend?,you call yourself a friend!
The fuck you care?,what do you care?,what do you care?
"Well, I'm too young for this shit.","well, I'm too young for that.","well, I'm too young for that."
Every night with these old fucks.,every night with these guys.,every night with these guys.
"Peter, what are you doing in there? Shut up!","Peter, what are you doing here?","Peter, what are you doing?"
"Stu, what the fuck?","Stu, what are you doing?",what's going on?
Doyou know what that means? Fuck off!.,you know what that means?,do you know what that means?
When are we doing that shit again?,so when do we do it again?,when are we doing this again?
"This idiot, I am going to cost money that I won the race yesterday... ...and much more.",correction will cost me all the money I made in yesterday's race...... and much more.,"I'm going to cost money for winning the race yesterday, and much more."
"A moron? Darling, you did nothing wrong.","sweetheart, you didn't do anything wrong.",you did nothing wrong.
"I mean, you know how I feel about that shit.",and you know what I think about these things.,"I mean, you know how I feel about it."
What's this shit?,what is this?,what's going on?
Did you not see that damn tree?,you didn't see the tree?,didn't you see the tree?
It's chasing without the stupid running.,it's a chase without running.,it's about running.
The fuck you ain't wake me up for?,why didn't you wake me up?,why didn't you wake me up?
"What the fuck, Jill?!","what are you doing, Jill?","what's going on, Jill?"
"Damn you, how do you know my name?",how do you know my name?,how do you know my name?
"Yeah, and whose fault is that? - Fuck you.","yeah, and whose fault is that?",and whose fault is that?
The fuck you doing up so early?,how come you're up so early?,how come you're up so early?
"See, they think they running shit.",they think they're saying something.,"you see, they think they're running."
Good luck with your fool's ball.,good luck with your picture.,a lot of luck with the picture.
"I just can't do that shit, man.","I don't really have that, man.",I can't do that.
What the fuck are you talking about?,what are you talking about?,what are you talking about?
"When you fall in love, you're fucked.","as you fall in love, he's with you.","when you fall in love, you're done."
You fools! That only makes me stronger!,that's just gonna make me stronger!,and it makes me stronger!
Let's go to your office. Fuck!,let's go to the office.,let's go to your office.
"Simone, you know I hate it when you make stupid remarks.","Simon, you know I hate taking notes like this.","Simone, you know I don't like to be offended when you say"
Goddamn you!,"oh, my God.","oh, my God."
Is this the kind of retard that drools and rubs shit in his hair and all that?,is that the kind of thing that pops up and then it goes into your hair?,is this the type of guy who droves and rubs his hair and everything
What the fuck is he doing?,but what does he do about it?,what's he doing there?
You girls eat like pigs.,you guys eat how you eat.,you guys eat how you eat.
Will you quit fucking doing that?,would you please stop?,stop doing that?
What the fuck are you doing?,what are you doing here?,what are you doing?
What a fucking joke.,really funny.,that's a very good joke.
"Damn, brother.","oh, my God.","oh, my God, brother."
"Lying bastard, I shouldn't have trusted you!",I shouldn't have trusted you.,I shouldn't have trusted you.
"Eddie, fucking...","Jesus, Eddie!","Jesus, Eddie..."
What the fuck is he doing?,what's he doing?,what's he doing there?
"Fuck, yeah, of course.","you bet, of course.",of course.
Who the fuck is this?,who's this again?,and who's this?
You're screwed!,you're done!,you're finished!
"Go Matthew, move your ass!","come on, Matthew!","go Matthew, move it!"
"Dammit Houston, we hear you.","Houston, we read you!",we're listening to you.
They sell my shit on eBay?,my stuff sells on eBay?,is that selling on e-bay?
You know how shit I am with these things.,you know how I'm doing this.,you know how I deal with these things.
Shut up.,quiet!,quiet!
"I don't know whatthe fuck you're talking about, Elias!","I don't know what you're talking about, Elias!","I don't know what you're talking about, Elias!"
I never understood how anybody so educated could be so dumb.,I never understood how someone so educated could be so sophisticated.,I never understood how anyone so educated could be so blunt.
I saw you serve those guys. - It's these fucking guys.,you served those guys over there.,I saw you're serving these guys.
"Fuck, no.","no, you don't.","no, no way."
What are you two retards doing?,what are you doing here?,"what are you doing here, mensch?"
"Oh, shit!","oh, my God!","oh, my God."
He's the damn President.,he's the president.,he's the president!
"I'd say to her, ""You a good bitch, Tuffy. Here's a treat for ya.""","I told her, ""You're a good girl, Tuffy.","I wanted to tell her ""You're a good girl, Tuffy."""
"Who the fuck are you, Niebaum?","what are you, Niebaum?","who are you, Niebaum?"
Watch this shit.,watch this.,look at this.
What a romantic load of crap.,what a romantic thing.,what a romantic thing.
Did you hear that? Shit!,did you hear that?,did you hear that?
That shit ended about a week ago.,it should have ended about a week ago.,it ended about a week ago.
"What are you doing, you morons?!",what are you guys doing?,what are you doing?
"Fuck you! All right, all right!","all right, all right!","all right, all right!"
What's wrong with that? - Shut up!,what's wrong with that?,what's wrong with this?
"Actually-- -Kick his ass, Joe!","um, actually-- - Give him, Joe!","really... - Kick it, Joe!"
We can't make a scumbag do anything he wouldn't do...,we can't make it happen... it doesn't.,we can't make him do anything he wouldn't do.
"They want to keep eating, they will let me use the damn spear.","they'll want to eat, so they'll let me have it.","if I want to keep eating, they'll let me use the spear."
"I'm having my tea break, so say what you mean or fuck off.","I've got a break for tea, so tell me what's going on or out.","I'm having an afternoon tea, so say what you mean or get out."
It's good to see you. - Bullshit.,it's good to see you.,it's good to see you.
I know what a shit my father can be.,I know what my dad is.,I know what a father can be.
A life vest? Shit.,a life jacket?,a life vest?
You ain't gonna believe this shit.,you won't believe this.,you're not gonna believe this.
That bitch knows!,she knows!,he knows!
What the fuck areyou doing?,what are you doing?,what are you doing?
Fucking... you're really good at this.,you're really good at this.,you're really good at it.
What the fuck y'all looking at?,what are you looking at?,what are you looking at?
"Come on, easy. - Shut up.","slowly, slowly.",just relax.
"Fuck, Barry.","Sarka, Barry!","Barry, Barry."
This idiot's coming with us.,this guy's coming with us.,he's coming with us.
"I can't see without the glasses, idiot!","I can't see without the glasses, man!","I can't see without my glasses, man!"
That's textbook shit.,it's in the manual.,this is a textbook.
"I get it, man. Shit.","I get it, man.","I've got it, man."
"No, don't be ridiculous.","no, no, no, no.","no, don't joke."
You stay there ... Shut up!,you stay there...,just stay here.
"This shit don't feel good to me, Bobby.","I don't feel good about it, Bobby.","this really don't feel good to me, Bobby."
"Fuck you, Paul.","oh, my God, Paul.","you go somewhere, Paul."
"Fuck! The seminal founder of ""Post-Impressionalism"".","a major founder of ""Post-Impressionism.""",the seminal founder of Post-Impossibleism.
That shit is too easy!,it's really easy!,it's really easy!
"Yeah, so go tell him that shit.","yeah, so go and talk him out of it.","yeah, so go tell him."
You call that training! Shut up!,you call that training!,you call this training!
"Right, for the next four weeks, fuck this job.",I don't care about work for another four weeks.,"all right, for the next four weeks, let's keep this job."
This is as good as a medal Fuck!,this is as good as medals.,this is as good as a medal!
"Give me your shoes, bitch!",give me your shoes!,give me your shoes!
White trash.,a white packet.,a white packet.
He had an intuitive grasp of machinery; he could handle it the way certain idiots savants can multiply and divide seven-digit numbers in their heads.,he had an intuitive talent for the machines; he treated them as some Singaporeans multiplied and separated seven-digit numbers.,"he had an intuitive understanding of machines, and he could handle it the way some people can"
What the fuck man?,"what's up, man?","what's up, man?"
And most people's inner monologues? Disturbing as shit.,and the internal monologues of most people are pretty worrying.,and most people's internal monologues?
"You're not feeling this fuckin' shit, man?","no, you don't feel it, man?","you're not feeling it, do you?"
"""Harran, damn you-""","""Harran to -""","""Harran, I'm talking to you..."""
"Dino Brewster, you better watch your ass, son.","Dina Brewster, you better watch out.","Dino Brewster, you better watch out, son."
Because I'm not going to take his shit anymore.,because I can't take it anymore.,because I can't do this anymore.
What the fuck's the matter with you?,what's the matter with you?,what's the matter with you?
I pay them good money... What fuck up's they are!,I've got a lot of money to pay... and look at them.,I'm giving them a lot of money.
"Now, who the fuck is this?",who's this again?,and who's this?
"""Bullshit, he's working for somebody,"" Cozo said.","""he's working for someone,"" said Cozo.","""he's working for somebody,"" Cozo said."
"You remember that, motherfucker,","remember that, man.","you remember that, man."
I've never seen that kind of shit.,I've never seen this.,I've never seen anything like this.
That goddamn pearl earring.,the pearl earring.,it's the pearl earring.
Do you believe that shit?,can you believe it?,can you believe it?
I'll go this time. Fuck with him.,"this time I'll go, I'll play with him.",I'll go with him this time.
Fuck!,hey!,"oh, God!"
"Yeah, fuck you.","oh, yeah.","yeah, I mean you."
"Who the fuck is playing us, man?",who's playing with us?,who's playing with us?
"Where the fuck you going, man?","where do you think you're going, man?",where are you going?
I forgot it. Goddamn shit!,I forgot about him.,I forgot it.
But he wasn't appreciated by your stupid emperor.,but the Emperor didn't appreciate it.,but he didn't appreciate the Emperor.
You think you're going to be this goddamn poster?!,do you think you're gonna be this?,you think you're going to be on this poster?
Motherfucker just showed up with all of them.,he just showed up with everyone.,Mawlka just showed up with everyone.
Say your fucking name!,tell me your name!,say your name!
"Bullshit, you can't force nature.",then you can't push nature.,you can't force nature.
"Okay, Chambers, you little faggot.","all right, Chambers.","all right, Chambers."
I don't believe this shit!,I don't believe it!,I don't believe it.
People are taking this shit seriously.,people really take him seriously.,people are taking this seriously.
Ask him if I can leave - Shut up!,ask him if I can leave.,tell him if I can leave...
OH FUCK!! what they've told you?,what did they tell you?,what did they tell you?
They know this shit.,they know us.,they know this.
"Damn you,Charlie Harper.",Charlie Harper.,Charlie Harper.
You really want to see that bag? Damn!,do you really want to see the bag?,you really want to see the bag?
Do your damn job.,do your job.,do your job!
Idiot finish your bottle and get out,drink the bottle and get out,then finish the bottle.
My brother's full of shit.,my brother's still talking.,my brother's talking.
That anonymous fuck was yours?,the anonymous guy was yours?,the anonymous one was yours?
"""Who the fuck is this kid?","""oh, who's the boy?","""who's the baby?"
"Natalie, right? Who the fuck is Dodd?","you're Natalie, right?","Natalie, right? Who's Dodd?"
"I love that shit, man.","I love it, man!","I love it, man."
Shut up...,it'll be quiet!,quiet!
I can't... This is stupid.,I can't do that.,I can't do that.
"What the fuck, Franco?","what are you saying, Franco?","what is it, Franco?"
Hand me that damn phone.,give me the phone!,give me the phone.
I win! Suck it!,I'm a winner!,I win!
"'Cause if there is one bright spot in all of this, it's that whatever idiotic, stupid, boneheaded thing you do tomorrow, it won't be my problem.","because if this is a bright side, it's that whatever you do is going to do whatever it is you want to do tomorrow, it won't be my problem.","because if there's a bright spot in all of this, it's not my problem."
"Don't move, scumbags.","don't move, don't.",don't move.
Traffic incident? Bullshit!,a traffic accident?,traffic control...!
This was a stupid idea.,this was a bad idea.,this was a bad idea.
