toxic,nontoxic
"And your radio, idiot ?",and our radio?
"Hey, Bob, thanks for giving us a chance to grieve together. Shit!","thanks, Bob, for giving us a chance to grieve together."
That lawyer won't be stupid enough to let him admit anything.,it's got to be in that lawyer. He's not gonna let him take anything.
"Good to see you too, fuckhead.","it's good to see you, too."
I even got a waterfall. But you got to come pick that shit up.,"I have a waterfall, but you'll have to take it yourself."
"Did you see that shit, man?","did you see that, man?"
"Listen, you two-bit fucking actor.","listen, the other artist."
What the fuck? - Bring him in before he breaks the house.,bring him before he breaks the bank.
"You bastard! I.S.S., this is Houston.","M.V.S., this is Houston."
"You know, your time here hasn't taught you shit.",I see you haven't learned your lesson yet.
"Go park it, motherfucker.","Park it, jerry."
"Apologise, damn you!",excuse me for this!
CIRCLE OF SHIT,the circle of Hovna
I thought you told those fuckin' assholes never to call here this late !,I thought you told the haters not to call you that late.
"You tell me you don't wanna get back at this asshole, and I'll drop it.","tell me you don't want to go back to this guy, and I'll stop."
Fuck!,go! Go!
"No, no, don't be silly.","no, not at all."
"Inez, shut up.",be quiet.
"Eric, Jack... whatever his fucking name is!","Eric, Jack... whatever his name is."
"12 idiots were captured, and the hostages, myself included, were freed.","the 12 rappers were trapped and hostages, including myself, were liberated."
Why did you do this?! Fuck.,why did you do that?
"You said that already, Herman. Fuck.","that's what you said, Herman."
"Open your eyes, you dumb shit!","open your eyes, man!"
Some camp. A bunch of Saxons and a load of fags!,camp - a bunch of Saints and many jumps-ups
"Mostly we're gonna miss kicking his ass in the office pool, but again...","we'll miss him most at the office, but again..."
All I want is more crap.,the only thing I want is more bad.
"Bastards, we've been planning this for months.",we've been planning her for months!
Who the fuck told you that?,who told you that?
"Hey, cool your ass, old man, before I...","hey, cool your grandpa before you..."
I'd tell him to shut the fuck up so I can get some sleep.,I'd tell him to keep quiet so I could sleep.
Bitch?,cow?
"If I’d listened to them, I’d be like them. Damn.","if I'd listened to them, I'd be like them."
I'm starting to regret this shit!,I'm starting to regret it!
fucking the star.,with our star.
"Shit, if it was 14 and had a teacher Who looked like that and wanted it?",if he was 14 and had a teacher who looked like that and wanted it.
What the fuck you playin'?,what are you playing at?
Fucking Jean-Yves ... Pull yourself together.,"pull yourself together, Jean-Yves."
"So you can prescribe this shit for me, legal?",so you can legally prescribe it to me?
I would never use you like that. Because I know the difference between what we have and this stupid office.,I'd never use you like that because I can distinguish between my relationship and my job.
"Hear that trash, Ranken!","listen to the noise, Ranken!"
Who did this shit to you?,who did this to you?
"Stop fucking around, Jack, time is of essence.","stop messing around, Jack. Time is of the essence"
"Tell him Van sent you, and remember-- Don't be a fool.",tell him I sent you and remember...
Tell him this is the last time I chauffeur your ass.,tell him it's the last time I'm taking you.
Get your damn boss on the phone!,put your boss on the phone!
"Stupid. Forget you, man. You did it, okay?","yeah, forget it, you did it."
"Fuck this guy, Nick. He wants to play games, we can play games too.","if he wants to play, we can also play a few games."
"I said, turn off that damn light. Forget it, man.",I told you to turn off the light.
What the fuck?,what's wrong?
"God damn it! No, you don't get it!",you don't understand!
No! Shut up!,you'll be quiet.
You think you can pull this crap on another ghost?,you think you can try this on another ghost?
"You have to remember, she spent her entire life going out with morons like me and Greg.","don't forget, your whole life has come up with callers like myself and Greg."
They want the same shit.,they want the same thing.
"You, my imbecilic commissar!","I'm talking to you, commissioner!"
Get off the fucking car.,get away from the car!
Fat and fucking flour!,fat and flour.
"You know I'll always be true to you. Oh, shit!",you know I'll always be faithful to you.
"You thought it was pretty fuckin' funny, didn't you? Well, fuck you!","you thought you were so funny, didn't you?"
"No, you don't need some stupid school to tell you what you're gonna do with your life.","no, you don't need anyone to tell you what to do with your life."
You go away. Take your stupid music with you.,you don't bother with the music!
Open that damn gate.,open the door.
"I can't see without the glasses, idiot!","I can't see without my glasses, man!"
Fuck! Who did it?!,who did it?
"Oh, fuck you, roz.","oh, kiss me, Roz."
Rotten piece of shit. That's worse than what I was saying.,that was a hell of a lot worse than what I was saying.
And that stupid Rishi won't talk about it..,Rishi doesn't want to talk about it.
Why did you get me involved in this shit?,why did you bring her into this?
We will never make it to the border wall with this piece of shit.,we'll never make it to the border wall in this country.
Bull shit! It was Thurber's!,they were Thurber's!
"No, asshole, that's not what I meant.","no, man, that's not what I meant."
First that stupid Wilson tries to be a hero.,"first, Wilson's trying to play a hero and now this..."
"Otherwise, take your conscience elsewhere... while we think about saving your ass.",otherwise go with your conscience and we'll figure out how to save ourselves.
"Are you speeding, asshole?","are you on speed, man?"
The hole seemed to stare up at him with a kind of idiot invitation.,the hole seemed to look at him as if inviting him.
Same shit.,the same.
"No, I was married 20 years, and she was a bitch, but she was old, and I never had a problem getting it up with her. What is this?!","I was married for over 20 years and she wasn't a bad woman, even though she was older, we still got along."
"What do you mean, tough shit?","what do you mean, bad luck?"
Damn it!,"oh, my God."
"""Nice day, isn't it?"" How stupid!","""what a nice day, isn't it?"""
How am I supposed to know if I'm not allowed to look back? Just shut up!,how do I know if I'm not supposed to turn around?
Let the fucking guy go so we can do what we came here for.,"let the man go, so we can do what we're here for."
Just Quiet. You should have heard this fool cryin'.,"man, you should have heard the noise."
Damn it.,"oh, my God."
"Don't give her a goddamn thing, Bob.","don't give her anything, Bob."
"""You're right, dammit.","""you're right."
You? None of your damn business!,it's none of your business!
Who the fuck do you work for?,who do you think you are?
"Foley, you get back here where I can see you, goddamn it!","Foley, get back here so I can see you."
"That is shit, isn't it?","well, isn't it?"
It’s fucking bollocks! – Check with Haynes. – Haynes fucking told me!,it's a mess! -check it with Haynes. -Haynes told me!
The fucking cops do not scare me.,I'm not afraid of that cop.
You have to look at me. - Damn!,you have to look at me.
Damn! You started good.,you started out so well.
Rick's a great guy! It was so fucked up!,Rick is a great guy. We had a great time.
"All right, so you ride one of those big sons of bitches tomorrow. Then what ?","so you're gonna have a big one tomorrow, then what?"
Sandy Taylor's fucking ridiculous.,Sandy Taylor is incredible.
"There's no way to survive this, you idiot!",there's no way you can survive this.
"I'd think that you're a cinematic idiot, and I'd feel sorry foryou. All right.","that you're a filmmaker, and I'd be sorry for you."
In their night not penetrated the large hormonal ecstasy into which I had fallen at the sight of some beautiful legs . Shit!,"the great hormonal ecstasy I had experienced at the sight of several beautiful feet was, thankfully, hidden from her."
"We're back, bitches.","we're back, girls."
"Your ass is still on my car, Booty!",you're still in my car!
He's a damn kid. He has a girlfriend.,the boy has a girlfriend.
"Sorry, moron.","sorry, Mimoni."
He hated tall bastards.,he hated long.
Where's your fucking navy or the like?,where's your navy or something?
It's been like a hipster Game of Thrones up in this bitch.,it was like a hipster Game of Thrones.
Mr. Parks is such an asshole.,Mr. Parks is a really nice guy.
"Franklin, get your fucking ass in the house!","Franklin, get in the house!"
"Hold your fucking hand, huh?","what, holding your hand?"
"It's not about the goddamn lawsuit, Spiller.","it's not a trial, Spiller."
This shit ain't funny.,this isn't funny.
"No, no, no. It's personal shit.","no, this is a personal thing."
What the fuck do you mean?,what do you mean?
"Now, he would be dead in the ground if you hadn't saved his ass.","on the other hand, he'd be dead if you hadn't saved him."
"You better keep stepping, motherfucker.",you better keep moving.
What the fuck will you do?,what are you gonna do about it?
"He set me straight, that shit he said to me: ""No more distractions.","he compared me to when he told me: ""No more distractions."
I bought a very expensive ring I can't afford... ...then I gave the rest of my motherfucking money to Motherfucker Jones.,"I bought an expensive ring I couldn't afford, and I gave the rest of the money to Mammy Jones."
Tastes like a rainbow. You're disgusting.,it tastes like a rainbow.
All these guys deserve triple the money on the next run. Fuck yeah!,all the boys deserve triple cash for next ride.
"But not in public, you idiot!",but not in public.
"Al: And out the door he'll go, and prompt as a Swiss fucking timepiece three big-tittied whores will now emerge from behind that screen.","and now he comes out, just like a Swiss watch, and then three big-faced girls emerge from the scenes."
Does that crap actually work on women?,does this really mean that kind of thing about women?
"Damn it, Dex, you don't have a code.","Dex, you don't have rules."
Now fuck off and save lives.,now get out there and save lives.
A fucking palace!,it's a palace.
Don't overreact Zilgai... just shut up.,don't overreact Zilgai..... .Just be calm.
"The Dursleys really were astonishingly stupid about their son, Dudley.","the Dursleys were, amazingly, what their son was concerned about."
"How the fuck are you doing, Moody?","how's it going, man, Moody?"
What a fucking waste of time.,what a waste of time!
"If only I was like the heroine of my stories, I wouldn't take her shit!","if I were a hero of my comics, she wouldn't have taken it!"
I said hang up the goddamn phone.,I said put the phone down.
Have a drink. Shit.,have a drink.
You know how that shit works.,you know how it is.
A Marine will fuck anything.,Marine Corps... anything.
"Shit! Yes, she's gone, and so am l so get your behinds out of here and go to bed.","yeah, she's gone, and so do I, so get out and go to sleep."
Stupid how?,how bad?
Shut up! come on Balwante hit the gas!,no Baiwante stepped on gas!
"New York is in America, you fuck.",new York is in America.
What the fuck? - You got the cocktails at your feet!,you have those cocktails at your feet.
Do you understand what the fuck I’m saying?,do you understand what I'm saying?
By smoke in this shit?!,how to smoke this!
You wouldn't even have the fucking idea If it wasn't for me. That's bullshit.,"if it wasn't for me, you wouldn't have thought of it."
Dan has been riding Nathan for the past 6 years about that damn game.,Dan Nathan's been bugging out for the past six years.
I can't believe you stuck it to that fuck Riario.,I can't believe you put Riario on it.
Yo why you acting like a little bitch right now?,why do you act like a little girl?
I can't understand shit.,I don't understand any of this.
"Laura, Cindy, this shit is totally gratuitous.","Laura, Cindy, this is completely undeserved."
"Bitch, what could be more comfortable than what you already got on?",is something more comfortable than what you already have?
What an idiot! The new tyres. Where they are going to put them?,where do you think they're going to put the new tires?
"Your dad. Your dad, man. That sucks.","your father, your father."
"I pity you, fool.","I pity you, my poor girl."
"You just sit tight, 'cause I'm gonna come door to door... like the goddamn Avon lady.",I'm gonna go around all the doors like the Avon lady.
"But as it stands, the way you behave, I feel I can speak for the entire office when I tell you go fuck yourself.","but the way you act, and I think I speak for the whole office when I say to you:"
"The last thing I wanted to do is to tell this man that I don't have his shit. Right, right.",the last thing I want to do is tell this guy I don't have his stuff.
Goddamn brain needs some more goddamn brains in it?,the brain can't think without a brain?
"What do you think about that, fuckhead?",what do you think about that?
Just play the damn game.,play basketball.
"The war is at our door, and you do this kind of shit.","the war is through the door, and you're doing this."
Watch your ass then.,so watch your step.
Let the fuck go of me.,let go of me.
You devil!,even you!
Bye-bye. Shit.,bye-bye.
I can't take this shit no more.,I can't go on like this anymore.
Police shit on that.,the police don't care.
You'd rather lay on your ass and read all day.,you should go to bed and read all day.
"That's right, motherfucker. And you can't go back up either.","that's right, and you can't go up either."
"Bitch, why else would anyone lay you?",why else would anyone treat you?
"You mean, you were in his bed... and he didn't whine and beg for, like, two hours... until you were so sick ofhearing his stupid voice... thatyou just gave in so he would shut up?.","like, you were in his bed...... and he didn't ask, and he didn't whine for two hours...... when his voice couldn't even hear...... that she gave up, especially to be quiet?"
"Here are your clothes, bitch.",here's your clothes.
"The courts have given you this one last chance to get your shit together, or your shit will get pushed in in prison.","the court allowed you one last chance to stand on your feet, or they will put you in jail."
Damn it.,"oh, my God."
I won't take orders from this gutter trash.,I won't take orders from the sewer system.
"For Christ's fucking sakes, shit happens!","for God's sake, that's what happens!"
I've been stuck in that piece of shit hotel room for two weeks.,I've been stuck in that hotel for a fortnight.
Let's get fucked up!,let's get cracking!
Look at all this damn water.,look at all the water.
We don't need you. Fuck off.,we don't need you.
I love this shit.,I love this.
"You're a fascist pig, and what Otto did to you is just the tip of the iceberg.",and what Otto did to you is just the tip of the iceberg.
"I'm waiting on Dana to say she did it, because that bitch did it.","I expect Dana to confess, because she did."
Ain't nobody drowning in that shit.,no one will drown in that.
What the fuck you saying?,what are you talking about?
"Can you feel me fucking you, Ro?","do you feel me, Ro?"
"Hmm. Well, maybe we should just take a look at this shit.","well, maybe we should check this out."
That gang shit was out of style when you was 10.,"when you were 10, the gang didn't have style."
Are you fucking over this poor man?,do you want to undermine a poor man?
Did that moron hurt you?,did the oven hurt you?
I bought 'em off the same scumbag who sold me naked pictures of you.,I bought them from the guy who sold me these pictures.
"if it's Green, I'll bury that bastard.","if that's Green, then it's over."
"Quality of life, my ass.","kiss me, my life."
You little coward!,you little Viper!
Government's gotta have dozens of departments dedicated to that shit.,the government must have dozens of departments to deal with.
"Pretty stupid, Elliot.","very bad, Elliot."
"Mitch, call a paramedic. Shit.",call an ambulance.
What the fuck have you done?,what are you doing?
"You know it, I know it so let's cut the shit.","I know, you know, so let's end it."
"I hate to break it to you, But life is not like the movies, You simple-minded idiot.","I hate to be happy for you, but life isn't a movie,"
"God damn, Carl.","oh, my God, Carl."
You could dry your shit...,you could dry your clothes off.
God damn it!,to God!
"Somebody wrote some shit on your house, man.","someone described your house, man."
"Once upon a time, two jackasses went to the convenience store. Oh, shut up!","once upon a time, two guys entered the convenience store store."
What a dick. You should take his car just on principle.,you should take his cart out of principle.
We'll stick with the red bastard.,we'll keep the red one.
"Jesus, Caden, what the fuck?","Caden, what happened?"
Damn!,blimey!
Big motherfucker!,big brother!
Who do you think you are? A damn artist?,"what do you think you are, an artist?"
Who the fuck are you and what the fuck are you doing in my room?,who are you and what are you doing here?
This sandwich is better than her soup. -Shut up.,sandwiches are better than soup.
"Fucking hell, Rasmus.","it's a mess, Rasmus."
"What... The point is, we couldn't do our job if it weren't for you guys doing all the paperwork, answering the phones, and all that stupid shit that we don't like to do.","I mean, we wouldn't be able to do my job if you hadn't cut the paperwork, the calls and the other stuff that we don't like."
"I promise, okay? Fuck.!","I promise, ok?"
Look at that fuckin' gun.,look at the gun.
And General fucking Motors!,and General Motors!
"You just don't want us to know the truth, do ya? - Bullshit!",you don't want the truth to come out!
Put on a fucking sweater.,put on your sweater.
"Oh, that idiot has gone to bed!",he's gone to sleep.
What the fuck is going on?,what's going on?
Sign the damn papers!,sign the papers!
"He should compensate me for the fucking rug. His wife owes money, and they pee on my rug?","his wife goes and owes money all over town, and they stare at my rug?"
Houston lost the fucking!,we lost Houston!
"OK, fuck it, I'll add Roger Federer as my ICE then, shall I?","okay, I'll just add Roger Federer as his ICE contact, all right?"
I didn't want to sing the stupid song with you anyway!,I didn't want to sing with you anyway!
"They have desecrated God's house. - Oh, shut up!",they disrespected the house of God!
♪ When I was young ♪ ♪ I was told ♪ ♪ try to be just as good as gold ♪ ♪ Try... ♪ That's stupid.,♪ When I was little ♪ ♪ That's what they told me ♪ ♪ I'm supposed to be like an obedient ♪ ♪ Find... ♪ That's too bad.
I know what a shit my father can be.,I know what my dad is.
Where the fuck you want to go?,where do you want to go?
"Look that shit again, Madeira!","check again, Madeira!"
So for you to think that you're the only person who got an itchy asshole in America--,"so, if you think you're the only person that's got an itch in America..."
Um... - I'm not so sure I'm the best role model. - You're better than these losers.,"yeah, you know, I'm not sure I'd be the best example."
Why is this motherfucker still breathing?.,why is he still breathing?
I'll give YOU 50 cents to fuck off!,I'll give you 50 cents.
I know everything you did the other night. just shut up!,I know everything you did last night.
Get in the fucking car and drive.,get behind the wheel and drive!
Find somebody to turn that damn thing off.,find someone to turn it off.
"I didn't rent it shoes. I'm not buying it a fucking beer. He's not taking your fucking turn, Dude.","I don't borrow his shoes, I'm not buying him a beer, and he's not taking you, Dude."
So he needs a fucking priest!,then he needs a priest.
Roll that shit! Chef Big Dog up all night cooking!,the chef was cooking all night!
"You're a real fucking smart ass, you know that?","you're really smart, you know that?"
Shut up! You're making him nervous.,don't make him nervous.
What the fuck are you talking about?,what are you talking about?
"I need that exact same shit by next week, but a lot more.","I need the same for next week, but a lot more."
"Honey, just because you can't see what's going on, doesn't mean everyone else doesn't see what's going on! Shut up!","baby, the fact that you don't see what's going on doesn't mean everyone else doesn't see it."
You drop a line down that bastard and you squeeze. Never pull it.,"you have a line along you, you never pull, you just compress,"
"""Don't be an asshole.""","""don't be rude."""
A box of my old shit.,with a box of my old things
Fuck her. Think she's blonde down there?,think she's blown down there?
A fucking alien!,"all of a sudden, an alien!"
"If you want to go work at that jerk's company, then go ahead.","if you want to go to the company of the bad guys, go ahead."
"Leave it there, okay? Oh, shit.","leave it there, OK?"
I'm more worried about Hardwicke getting on that goddamn boat.,I'm worried about Hardwick and the boat.
It's the baddest shit-kicking weapon in the world.,the most dangerous weapon in the world.
Where the fuck were you going?,where were they going?
"Suck it, future!","and you've got it, future!"
"""This kind of shit is bad for business.","""this is bad for business."
"Dammit, hurry up, Spike!","faster, Spike!"
Light the damn tree! Yeah!,light up the tree!
"Amy Taylor Walsh, kicking ass and taking names.",Amy Taylor Walsh doesn't talk to anyone.
"They never found his wife's body, so he keeps looking. The guy's a lunatic.","he's never found his wife's body, so he's still looking."
I can't believe she called me on my crap like that.,I can't believe she shook me off.
"Shut up. You're not too zonked to beat up Tyler, are you?","you're not high enough to beat Tyler, huh?"
"Guess what? Today, Steve McQueen is my little bitch.",today Steve McQueen holds my hand!
A fool like you has nothing to lose.,he's got nothing to lose.
Who gives a fuck?,who cares?
"Shit, man:","Jesus, man!"
You're all crazy.,I'm not crazy!
God damn it.,"oh, my God."
"Every Thursday, me and your brother Hank together to fuck.",I'll see you and your brother Hank.
Joey? Holy shit.,"hey, Joey!"
I just wanna fuck you.,I just want you.
"Get some fucking therapy, man.","go get some treatment, man."
"You screwed, for coming back.",you messed up when you came back.
"Silly girl, you've suffered long enough.",you've suffered long enough.
"(sighs) Wakes up this morning in bed with the fucking Hearst Combine, knowing he's got us by the balls.","he woke up this morning, in bed with that Hearst job, he knows he's got us."
"Yeah, well, either that, or your job sucks and your boss is a wacko.","otherwise you'd have known you had a terrible job, and your boss is cracking up."
Speaking of kicking their ass-- What do you do with the naughty boys?,speaking of... what are you doing with bad guys?
"I can't even enjoy my shower now, Mr. Publicist-piece-of-shit.","I'm not taking a shower now, Mr. Publicisto-To-Hovany."
Now fuck off and leave Casper in peace!,now get out there and leave Casper in peace!
"Oh, shit.","oh, man."
Lucky bitch.,she was lucky.
"""Asshole.""","""dude!"""
"The rule is, the harder you try not to come, the harder I make you come. Fuck you .","the rule is, the more you try not to achieve it, the more I force you to do it."
Get off me! What is your fucking problem?,"move, what's your problem, man?"
Why would you risk everything slumming with those losers?,why are you risking everything for them?
"Are you nuts? You have any idea, how many medals, this son of a bitch won?",do you have any idea how many medals this guy got?
"Detective Riley, bitch who pulled me out of the ambulance.","detective Riley, the woman who took me out of the ambulance."
Of course. Forward. Imbeciles.,"of course, forward!"
"If I'm asking you what you said to Mecklen, assume the shit is rhetorical.","and when I ask what you said to Mecklen, I suppose it's a rhetorical question."
Give me that shit.,give me one.
Shut up...now.,be quiet.
There's nothing those bastards don't have.,there's nothing you can't do.
"You're either the most romantic guy I've ever met, or you're completely full of shit.","you're either the most romantic guy in the world, or you're feeding me a bush."
"Jesus, you believe this shit?","oh, my God. Do you believe that?"
"Sod you, you clean it up. Sorry, fellas, that stupid cow scared the life out of me!","I'm sorry, gentlemen, but the cow scared me to death!"
She ain't got nothing to do with this shit.,she's got nothing to do with it.
"Clever, OK, but dumb.","clever, yes, but limited."
All he did was steal my shit.,he's got my stuff.
The engine room is totally fucked!,the engine room is completely blown.
Damn it! I can't believe she's the one that gets to say that.,I can't believe she's the one who says it.
I want 10 more minuteswith this piece of shit before his lawyer shows.,I want ten more minutes before his lawyer shows up.
Come out with your fucking hands up!,get out of your hands!
"Lisa, your ass back in the cabin.","Lisa, come back to the cabin."
"""Damn you!"" he yelled at Yanni after the fact.","""kiss me!"" Justin yelled at the deaf microphone."
But I got me a goddamn bartender gonna testify that old Stuntman Mike didn't drink a drop all night and his passenger was left stranded by her date in the goddamn rain no less and she asked him for the fucking ride.,"the bartender's gonna tell me that Kaskadre Mike didn't even have a drop in the night, so the kid got stuck in the rain, and she wanted him to give it a ride."
"I can't wear these shoes to diner, idiot.",I can't go in these shoes.
Damn!,"oh, God."
"It's what you are, Jason... a killer.","that's what you are, Jason."
That baby smells like shit.,it's the baby smell.
"Lavar, your son just got his ass blasted!","Lavar, your son just got straightened out!"
"I'm saying this to you as your fucking sister and nothing else, okay?","I'm telling you like my sister, that's all there is, okay?"
"We have the chance to make up our own shit, we can grow our own garden and put little flowers and pansies and gay gnomes in it and water features and water sports and slings, but no, everybody wants to concrete the fucker over and get a gas barbecue.","we have a chance to build it, we can grow our own garden, where we put small flowers and milks and we'll put dwarves there and water sports and other things, but not everyone is going through it to come to the barbecue."
I'm more worried about Hardwicke getting on that goddamn boat.,I'm worried about Hardwick and the boat.
"Old Man Howard lets a tree fall on his stupid sorry ass, and has to call for help.",a tree fell on old Howard and he had to call for help.
"Wake up, damn it!","wake up, for God's sake!"
"Bo, damn it!","Bo, stop!"
It was really hard with those stupid little sunglasses.,it was a really hard thing to do with these little glasses.
Can you believe this shit?,can you believe it?
"If you hang with us, this shit wouldn't happen.","if you were with us, nothing would happen."
"Come on, Cal, leave that shit alone.","come on, Cal, leave it alone."
Does Brumby really enjoy that crap?,is Brumby really enjoying it?
I was just seeing how she was feeling. Bullshit.,I just went to see how she was doing.
Have a good shit?,did you have a good time?
"Fuck me, you can't cook!",you can't cook.
Traitor!,betrayal!
And then we won the stupid regionalsand had to do this lousy-ass tournament!,then we would have won the country and had to play the tournament!
"Well, we certainly didn't talk about the damn Mayans!",we certainly didn't talk about any Mayech.
You don't want to do that shit.,she didn't want to do it.
You shut up.,be quiet.
Why the fuck did Marcus have to die?,why did he have to die?
The only place I've seen dwarves in dreams is in stupid movies like this!,the dwarves are in the dream just in stage movies like this one.
Just shut up.,be quiet.
"Send soldier boy, damn it!",send in the army!
"Avoiding cameras. –So, what's the problem? –This is the goddamn problem.",so what is your problem? This is the problem.
We got to get the janitor to fix that shit.,we need to get the cleaners to clean up the mess.
"He came out, we sucked his ass up... and, boom, end of story.","I knew it would be easy for him to come out, and he came out, we caught him, and boom, end of story."
"Reverend Oates, why are you with this scum?","Reverend Oates, what are you doing here?"
"We can talk to our planes, and those bastards who did this will never know!","and we can broadcast our planes, and the bad guys who did this will never know!"
"Damn it, how could you guys do that?!",how could you do this?
Scott can show you how to shove a pill up your asshole.,Scott here can show you how to swallow.
The fool tried to rip us off for five million Swiss francs.,he wanted to deprive us of five million Swiss francs!
"He won't be able to rest in peace, you idiot!",he won't be able to rest in peace.
"Just want to make sure it's not a stupid, impulsive decision.",I want to be sure it's not just an impulsive decision.
Bullshit. I know you better.,I know you didn't.
Just get on the damn elevator.,take the elevator.
That shit's strong.,it's strong stuff.
"Hey, I'm ready, you wop bastard!","hey, I'm ready for you guys!"
"She takes the goddamn thing,gives you a quarter!",he'll take it and give you a quarter.
I'd hate to be one of those poor sons of bitches.,I wouldn't want to be one of those poor people.
Dope on the damn table.,drugs on the table.
That dumb broad ran through a red light.,the hen ran a red light.
What the fuck?,what do you want?
"Fuck you too, Grandma.","you too, Grandma."
"Come on, shake on that shit.","come on, let's shake hands."
"Okay, and finally, all in favor of going back to the old system of organized chaos, where emotion trumps reason every single time and we just yell at each other to get the shit that we want, raise your hands.","and at the very end, who is for the return of an old system of organized chaos, where emotions prevail over their good sense, and we just scream when we want to achieve something?"
You've caused more damage than that goddamn thing did!,you've done more damage than he did.
"Dad, there's a new store at the mall called ""Stupid Spoiled Whore"" and I'm gonna go there and buy a thong!","dad, there's a new store in the mall, blurred vision, and I'll buy a thong."
I'll show you idiots how to cage a wolf.,I'll show you how to catch a wolf.
Two million dollars for your ass.,two million dollars for you.
What the fuck Are you talking about?,what are you talking about?
"Might spike that shit with some procaine or some caffeine, but otherwise the same.","maybe it's a little dicey or caffeine, but it's the same."
"Today, they're locked away, useless.","currently locked, no use."
And you're a cash fucking customer.,and you're a good paying customer.
"What, you don't think I can do this shit?",you don't think I can do that?
He thought idiot stubbornness was bravery.,he thought that stubborn stubbornness was the same thing as courage.
Just a stupid detail.,just a detail.
Dammit! That's our only way out.,no! That's the only way out!
What if Miss Bernarda finds out? - Shut up!,what if Miss Bernarda fit?
"No, ""Fuck You,"" I would believe.","no, the name ""Naser,"" I would have believed."
You've gone... - Stop telling me what's wrong with me! Tell me what's wrong with my goddamn son!,"stop telling me what's wrong with me, and tell me what's going on with my son!"
Got caught with 5 kilos of their own shit!,if they caught them with five kilos of their own matchups!
My husband loves to play the village idiot.,husband still loves these games.
"He doesn't even own this property, stupid squatter.",he doesn't even own that property.
What y'all three bitches want?,what do you three want?
What the fuck happened to that guy's head?,what happened to his head?
They called the fucking cops!,someone called the cops.
