toxic,nontoxic
"No, ""Fuck You,"" I would believe.","no, the name ""Naser,"" I would have believed."
My husband loves to play the village idiot.,husband still loves these games.
"He doesn't even own this property, stupid squatter.",he doesn't even own that property.
"Tom Powers, he does not! You're a big liar.","that's not true, Tom Powers!"
"Guys, shut up.","no, it's quiet there."
"Late, pathetic... why bother?","always late, to laughter... Why would she bother?"
Can you believe this shit?,do you believe that?
And you deserve a c o-anchor who gives a crap.,and you deserve a co-presenter who cares.
"Let's do this shit, shall we?","let's go, shall we?"
You know what? Take mine. I hate that android fuck.,"take mine, I don't know the android."
"No, it's just a stupid idea.","no, it's just a bad idea."
"I'm tired of this shit, man.","I'm tired of it, man."
"Fuck him, I know the coordinates.",I know the coordinates.
"You had a job you were supposed to do last night, you little piece of shit.",did you happen to have something to do last night?
"Ok, you damn cop. This one's for you!","all right, cop, there you go!"
Fuck you--go home and play with your kids.,go to the party. Go home and play with the kids.
"Now, why would you spend so much time trying to teach me how to blow a stupid bubble... when you could have been making up for this?","why did you spend so much time teaching me how to bubble, instead of mentioning this?!"
What the fuck you talking about ?,what are you talking about?
So what the fuck are you talking about?,what are you talking about?
The fuck are you looking at?,what are you looking at?
"Damn it, Janet","oh, my gosh, Janet."
"Yeah, fuck you, chef. That's the way it is.","oh, yeah, chef, that's how it is."
"No, Stephen, I cared about helping you. Bullshit.","no, Stephen, I wanted to help."
"'Cause if there is one bright spot in all of this, it's that whatever idiotic, stupid, boneheaded thing you do tomorrow, it won't be my problem.","because if this is a bright side, it's that whatever you do is going to do whatever it is you want to do tomorrow, it won't be my problem."
"I'm doing this shit for you, man.","I'm doing this for you, man."
That's all you care about... starting these damn experiments again.,"that's all you care about, starting with the experiments."
I love this shit.,I love it.
"Todd, what the fuck?","Todd, what are you doing?"
"I mean, this... this here is my shit.",I mean... it's great here.
This is a stupid idea.,this is a bad idea.
What the fuck is he doing?,what's he doing there?
You give him your fucking words to print on your fucking machine!,you gave him your paper to print it on your machines!
"Fuck you! I told you not to do it like this, Ray.","I told you he didn't mean it like that, Ray."
There he is! - Fuck!,there he is!
"You know, the usual shit.","you know, their stuff."
Must the jury listen to this rubbish?,does the jury have to listen to these things?
"Look, it's clear as day -- you still give a crap.","look, it's clear as day... you're still interested."
"This shit's the best I can offer you, pal.",this is the best I can offer you.
"Bitch, why you don't just say that?",why can't you just say it?
"Think, damn you!",think about it!
3.20 a pint. Fuck off.,3.20 for a pint.
What do you mean? - Bullshit.,what do you mean?
Thanks. Fuck you.,thank you.
"Try calling a mother-fucker before you just show up, ok?",you should try calling sometimes before you show up.
"No, I didn't, asshole.","no, no, no, no."
What are you looking so stupid?,what are you looking at?
"What the fuck, Hank?","what now, Hank?"
Why would you be so ignorant and eat it?! Why didn't you say anything?!,why did you eat so much and you didn't say anything?
Hatch doors close in five seconds! Shit.,the entrance closes in 5 seconds.
But he'd never heard the stupid-looking kid talk about himself before.,"on the other hand, he had never heard the boy speak of himself."
You want me to stick this into my heart? - Are you fucking nuts?,do you want me to put this in my heart?
We just got a tape from those bastards.,we got the tape from them.
It's too late for that shit.,it's too late for that.
You know what I think of your bullshit advice?,you know what I think about your board?
"Well, grab your shit and let's go.",grab your stuff and we're going.
What the fuck did you guys put in that champagne?,what did you do to my champagne?
You settle that shit on your own?,did you decide that on your own?
Pathetic.,a sad sight.
"What the fuck do you mean, ""again,"" John?","what do you mean, ""Again""?"
"Fuck Beale Street, too.",and Beale Street too.
"Get back in the truck, asshole!","back in the car, man!"
God damn. Whoo!,"oh, my God."
Does stupidity run in your family?,what's wrong with your family?
Idiots. I gotta see this.,I have to see this.
Too many idiot metaphors.,too many metaphors.
Fuck you-- go home and play with your kids.,go ahead-- go home and play with the kids.
"""Romi"" Fuck off!","""Romi,"" forgive me!"
"Shut up, Celia.","quiet, Celia."
DISKANT: I can't believe this shit worked.,I can't believe it worked.
Yeah! And then we won the stupid regionals and had to do this lousy-ass tournament!,then we would have won the country and had to play the tournament!
Part eight... Shit!,position eight...
"Who the fuck is playing us, man?",who's playing with us?
Fuck the bus!,the bus didn't come.
Can you imagine that motherfucker roaming around Parker Center?,can you imagine him wandering around the main building?
Remind me again why I put up with this shit.,remind me again. Why do I have to go through this?
"Think about that shit, Dawg.","think about it, buddy."
I know your kind very well useless fucking morons.,I know your species very well.
What If they wanted you here? - Bullshit.,what if they deliberately wanted you here?
Won't we get in trouble? - Don't be stupid.,aren't we gonna get in trouble?
"What do you, asshole, know about killing?",what do you know about murders?
I fed them bullshit.,I fed them unsweetened.
"Brice Cummings is the idiot, sir.","Brice Cummings, sir."
"What about Tim? Aw, shit.",what about Tim?
What the fuck areyou doing?,what are you doing?
He just woke up. He wasn't expecting this shit.,he just woke up. He wasn't expecting anything.
No one remembered the stupid customer number.,no one remembered the order number.
"Hey, asshole. You can't park here.",you can't park there.
Every man wants to get with me. Fuck.,all the guys want to do it with me.
We got to put him off this cartel shit.,we have to leave him with that cartel issue.
You don't do that shit with your wife. - Why not?,that kind of thing doesn't do with your wife.
Oh shit! Jesus!,"oh, my God."
"She was like, ""Let's not make an issue out of it."" And I said, ""No, fuck that.""","and she goes, ""Let's not make a big deal out of it."""
"Rhonda talks more trash than both of us, Your Honor.","Rhonda speaks more than both of us, Your Honor."
"Federal investigation, my ass.","federal investigation, I'm sure."
"Bullshit, I saw your hands.",I saw your hand.
"Fuck, What's going on?",what's going on?
He doesn't want to hear your stupidities.,she doesn't feel like hearing your talk.
"Finally, someone else can get everyone's stupid coffees.","finally, someone new to get a cup of coffee."
What?! Species of dumb!,what have you said?!
"Oh, shit. I know that you are!",I know you're here!
I can't have my generals spouting idiocy Hitler would applaud.,my generals can't spell out the idiosyncrasies that Hitler would applaud.
You need a fucking GCSE in science to understand all this shit.,you need a degree in science to understand.
What the fuck's wrong with you?,what's the matter with you?
"The more you say that name, the dumber it sounds.","the more you say it, the more it sounds."
"You took half an hour, fool!",you've been there half an hour!
How did you idiots get captured?,how could you get caught?
You think I don't do that shit?,you think I'm not doing this?
Sure. fuck it. we'll make it for you.,we'll figure it out for you.
That's not him. Shit!,this isn't him.
That goddamn pearl earring.,the pearl earring.
"Known her since school, first kiss, all that fucking shit.","I knew her from school, first kiss and everything."
Governor Fuckhead.,"governor Pitka. """
Fuck you! I got my mail!,I was just going to get the mail!
"He's tall and cute and surfs, and you made a complete idiot out of yourself with him in front of the entire town.","he's tall, cute, surfing, and you've gone all the way in front of him and the entire town."
"Come on, I'm not dressed for this shit!",I'm not dressed for that!
"All right, man. Fuck.","all right, man."
Look what I got for two loaves. - You idiot!,look what I got for two loaves.
"Fuck you. Seriously, it's somewhere on the coffee table.","really, he'll be on the coffee table."
"Yes, but Cameron Diaz, fuck!","yes, but Cameron Diaz..."
Maybe he went in there by mistake. Bullshit.,maybe he went there by mistake.
"What the fuck are you sorry for, Mike?",what are you apologizing for?
"Now, that shit will help you solve the case.",that'll help you solve the case.
"Damn! He's a big 'un, ain't he?","he's big, isn't he?"
"Find romance on your menu With over $1 million in cash and jewels tucked in a bank in Vegas, only for Ginger, she was secure and happy, she loved that shit.",a million dollars in cash and jewels deposited in Vegas in a bank... made Ginger happy and secure.
"Street calls, you got to handle your shit.","the street called, you had to deal with your things."
Looks like that's the last of your shit. Here you go.,looks like this is your last thing.
"Yeah, we practiced that shit for an hour.",we rehearsed for an hour.
Don't those fucking assholes know... ...the world is a shitty place?,shouldn't they know the world is a bad place?
That's good shit.,good stuff.
Look what you've done... Shit!,look what you've done.
Look at that fucking bone.,look at the bone.
"Dude, what the fuck?","what's going on, man?!"
Bullshit. What are you talking about?,what are you talking about?
"Keith who the fuck are you talking to, man?","Keith, who are you talking to?"
"Stacey, the goddamn horses are gone.","Stacey, the horses are gone!"
What the fuck are you doing?,what are you doing?
"Last time I saw him, Harry was wearing a blue sweater and an idiotic expression.","the last time I saw Harry, he had a blue sweater and an honest look."
Fucking Maoris who think they're better than the rest of us?,what do you think they're better than us?
Fucking come here!,"come on, come on!"
What the fuck are you accusing us of?,what are you accusing us of?
I'll do that shit every night.,I'll do it every night.
Long live... the fucking queen.,long live the Queen!
Bitch. It's almost as good as mine.,she's almost as good as mine.
That's a damn picture there.,it's a pretty picture.
I assume you morons can spell.,I guess you could spell it out for me.
Are you recording this? Shit.,are you recording?
Why are you still listening to this crap?,why are you still listening?
"What are you, a fucking geologist?","what are you, a geologist?"
"Well, if he didn't, this would be really stupid.","well, if he hadn't, it'd be pretty bad."
"What's your problem, asshole?",what is your problem?
Because they got that shit playing on every TV in every one of their rooms.,"because he lets it out on every television, every room."
I hear that shit.,I hear you.
"""Don't think I _like_ these bastards,"" he said.","""don't think I have these disappointments in love,"" he said."
"I’m tired of this shit, man.","I'm tired of it, man."
"Malena Scordia, the slut.",Malena Scordia.
"Oh fuck, Stebbi wait.","Stebbi, wait."
Bitch You don't wanna sweat this,you don't want to sweat it.
He's wearing that damn suit again.,he's wearing that suit again.
Kids today are scum!,the kids are today!
I don't buy this crap!,I'm not buying this!
Fuck me again like you did last night.,"come on, like last night."
"Let's go, Casper. Give me your shit.","come on, Casper, give me the money."
As stupid as you are... you're pretty smart sometimes.,"even if you're slower sometimes, sometimes you feel really hot."
"Hey, Frank. - Fuck.","hey, Frank."
Christian Audigier is the same shit.,Christian Audigier goes the same.
"He can't let go of that shit, neither.",he's not just gonna let it go.
You believe this shit?,can you believe it?
Listen. Just put your fucking bag and keys on the back seat and fuck off!,"listen, put the bags and the keys in the back seat and get out!"
Who the fuck are you?,and who are you?
Can you believe that crap?,would you believe it?
"Tammy, this is stupid.","Tammy, this is really bad."
Fuck's sake!,for Christ's sake!
Give me your damn cell phone.,give me your phone.
"""Harran, damn you-""","""Harran to -"""
That bastard didn't even stop!,he didn't even stop!
"Wow, wow. I could do this shit all day.",I could do this all day.
Oh fuck what are you doing here?,what are you doing here?
"Norman, he can't take that fool thing on the plane.","Norman, he can't take the line to the plane."
Jack Dunphy's full of shit!,Jack Dunphy's talking!
Why? What's wrong? - Fuck.,what's going on?
"Yeah, you think you're hot shit?","yeah, do you think you're an amazing guy?"
"No, no, no! - Shit!","no, no, no."
"Fuck your husband! You got no bucks... No bucks, no Buck Rogers, Boyle!","if you don't have any money, it won't be Buck Rogers, Boyle!"
"I wanted to believe your shit, but look at this!","I wanted to trust those little guys, but look at this!"
Because maybe we still don't know jack about you! Are you really that stupid to think I'm hiding something?,maybe because we still don't know anything about it. Are you really quite so mean that you think I'm hiding something from you?
"Damn, Linus, listen!",listen to me!
Can you believe that crap she said about me?,would you believe what she told me about?
"You sent the money home, you bastard.",you sent your money back home.
"Good shit, as always.","good job, as always."
"Hero, my ass!",no hero!
And we have to change our names again. Son of a bitch.,and we have to change our name again.
Dumb idea.,bad idea.
"Jesus, fuck it.","oh, my God."
Just fuck off!,just go somewhere!
"This one’s for you, Frankie! Fucking dies!","this is for you, Frankie!"
"What the fuck are you doing, man?","what are you doing, man?"
"Bitch, what part of ""I'm out"" do you not understand?","you don't understand what ""I'm done""?"
Fuck you. she's a priority to me!,"for me, that's a priority!"
"Oh, I was good enough for you last night you fucking faggot.","oh, I was good enough for you last night?"
"You can keep the damn ring, by the way.","you can keep the ring, by the way."
Why do you want to do this shit?,why do you want to do this?
You hear that shit?,do you hear that?
Sorry. Idiot.,I'm sorry.
What do we do with this shit?,what are we gonna do about it?
"Fuck yes, Special Agent Lundy.",especially Agent Lundy.
"Fuck you. Hoffman, give him two bottles.","Hoffman, give him two bottles."
Answer me bitch!,answer me!
"What the fuck, man?","what's your point, man?"
"You ready for this shit, my dear brother?","are you ready for this, my dear brother?"
You're going to your chicken shit college and me going to Yale.,"you're going to your school, and I'm going to Yale?"
What the fuck is this guy doin'?,what is this guy doing?
"Yeah, I told them, the fools.","yeah, I told them."
"Put that fool on speaker, man.",put it on speaker.
"Damn shame, Porter, but don't let the bastards get you down.","not much, Porter, but don't let it bother you."
Looks like your ass is still working.,looks like you're still working!
Seriously. We need to just take some to that new bar where idiots pay $20 for a drink.,"seriously, we're going to a new bar where people are willing to pay twenty bucks for a drink."
Does Brumby really enjoy that crap?,is Brumby really enjoying this?
"Sheboygan Lager, bitch!","Sheboygan Lager, man!"
"The devastating impact of the duo can also be seen with their hit song... ... ""Shut Your Fucking Face, Uncle Fucker. ""","the influence of this Canadian duo is evident even in their new song, ""Hold your hold, Uncle Domende."""
Why don't you do something about it? Fuck you!,what are you gonna do about it?
It's your shit now.,now it's yours.
"Rod, that shit goes into a supplemental.","Rod, this is a hell of a deal."
Fuck you. You crossed the line.,now you've crossed the line.
"Jesus Christ, what the fuck are cops doing here?","Jesus Christ, what do the police want?"
"Tone, you see this shit?","Tony, did you see that?"
"Nice driving, motherfucker.","you're driving great, man."
She's not going with you. Shut up!,she's not going with you.
How do you turn this damn thing on?,how do I start this thing?
are doing exactly the same dumb things as humans do?,do they do the same things as humans?
"Then maybe we hire somebody to rob a bank. Dude, fuck hiring him.","well, then we can hire someone to do it for us."
"Why the fuck did you do this, Torkild?","why did you do that, Torkild?"
What the fuck are you doing?,what are you doing out there?
Cut the shit. Who do you think I am?,who do you think you're talking to?
"You got Facebook, dude? - Fuck off.","you got Facebook, mate?"
Why don't you get a job. Instead of playing golf with your stupid buddies?,"what if instead of playing golf with your friends, you found your job?"
"Those bastards, who only pick you up when they feel like it?",the ones who complain and they only take you if they want?
"Fuck, Sophina.I've been holding, how long?","Sophina, I've been holding on for how long?"
You know some shit.,"yeah, you know."
Do it! Fuck.,come on!
I earned this shit.,I earned them.
What the fuck you think it is?,what were you thinking?
That's my shit!,that's something for me!
"Fucking party, bro!","great party, bro!"
"Jill, I do not have time for this. - shit!","Jill, I don't have time to..."
Have I ever been wrong about this shit?,have I ever been wrong about this?
It's seditious bastards like you that are the cause of all this.,it's the kind of thing that's the root of all that.
She doesn't? No fucking shit she doesn't like to.,of course she doesn't like it.
Where's he learn that shit?,where'd he learn that?
"I paid for it, moron.",I paid for it.
'Where's your damned sword?',"""where's your sword?"""
Pompous idiot!,pompous!
Look what you've done Shit!,look what you've done.
I cannot believe I fell for his crap again.,I can't believe I found him again.
"""Go to hell.""","""walk with it."""
"He stole your jokes, stupid. I st came to talk to him about something.",I just came to talk to him about something...
"No, it is me as a child. - Idiot!","no, it's me as a boy."
Go back to your foolish work.,go back to your job.
Anyone want these stupid things?,does anyone want that?
"I'll tell you anyway, motherfucker.","I'll tell you anyway, man."
"Donnie, what is this shit?","Donnie, what is this?"
"ln fact, he wants to be there to hear this shit.","in fact, he wants to be there and listen to me."
"On my side, shit.",on my side.
"Go to hell, Rainer Langhans!","you, Rainer Langhans!"
Don't let those jerks take your money.,don't let them drag your money out of you.
"Come here, buddy. Ah, fuck.","come here, buddy."
"My daddy was a cunt, but he knew he was a cunt.","my father was a skater, and he was well aware of that."
Dh God damn!,oh my God!
"What do you think of this guy, This pilot, this fleeing pilot? I think he's a fucking coward.","what do you think of him, the pilot about the fleeing pilot?"
You're a goddamn quarterback!,you're a great quarterback!
I even come and visit you. - Fuck you!,I've even come to see you.
Can't this wait until after the wedding? Shut up!,can't it wait till after the wedding?
It's coz of those two idiots. They escaped through a tunnel.,the two escaped. They came out of such a tunnel.
"Fuck! Gerry, man, are you sure?","Gerry, are you sure?"
"Oh, shit!",geez!
"Scotty, do you hear me? Scotty! Damn it.","Scotty, can you hear me?"
What the fuck are you talking about?,what are you talking about?
You think that shit comes easy?,do you think it's easy?
Silly bastardleft me a present last night.,he left a present last night.
I pray to God he's an idiot.,I pray to God it is.
"She doesn't really care about that shit, you know, the noise and the magazines.",she has the stuff about the noise and the magazine in hand.
You got that shit on tape?,you have it on tape?
Shut up! You know why.,"quiet, you know why."
"Mate, I don't know what you're thinking about your future and that but I'm about done with this shit.","I don't know what future you're planning, but I'm done with this."
Get your shit and get out!,pack your things and get out!
"Stan, give us all the boring crap you have.","Stan, give us all the filling you have."
Fuck you. What do you get?,what do you get?
"""I'm getting too old for this shit.""","""I'm too old for these staples."""
"Fuck, no.","no, no, no."
"What the fuck, man?","what are you talking about, man?"
"It's like every day, you find a new way to push the limits of stupidity.",it's every day you find a new way to stifle the limits of destitution.
"Same shit, different day.","all the same, just another day."
Do you ever just want to talk? Shit.,I just want to talk to her?
What shitty music!,what a great music!
"Ah, fuck!","oh, no!"
"You know, all my years on the job, that's the first time I ever heard a line so stupid coming from behind a badge.","you know, all those years at work, that's the first time I've heard so many sprigs coming from the badge."
Fuck. - Did you find her?,did you find her?
You expect me to believe all this crap?,you expect me to trust those cons?
"Come on, shit.",come on.
"What the shit, manny?","what are you doing, Manny?"
"How about some room service, Mr. Head? Fuck off.","how about a room service, Mr. Head."
Normal fuck?,a normal wink?
What's he want? Shut up.,what does he want?
No more shit.,no more.
I know how this fucking bullshit works.,so I know how this business works.
We are here to rerun numbers and make sure we have the same profit margin as Brenda. You soulless motherfucker.,we just have to check the numbers and make sure that we get the same share of profit as Brenda.
"You don't need a boat to get to Paramus. Secret method, my ass.",you don't need a ship to get to Paramus.
"""Yo, yo, Mike, man, what the fuck you doing, nigga?","""hey, Mike, what are you doing, bro?"
"I said four pieces, bastard!",I said every four pieces.
Your husband is helping us with our inquiries. Bullshit.,your husband is assisting us in the search.
He's the damn President.,he's the president.
"Fuck me, you look great.",you look great.
I shouldn't have said that shit.,I shouldn't have said that.
"It's a big motherfucker, huh?","it's a big one, isn't it?"
"Sandro, Ale, Alessandro: Same shit.","Sandra, Al, Alessandro: Still the same."
"You sold me out, you shit... ...after I opened myself up and gave you everything.",you sold me out after what I opened up to you and said everything.
"So,what the fuck, man?","what's up, man?"
And turn that damn alarm off.,don't break the link and turn off the alarm.
Tonight ain't the night for this shit.,there's no time for tonight.
"Do not be stupid, if not Capitalism is not democracy if not capitalism is not democracy.","without democracy there would be no capitalism, and without capitalism, there would be no democracy."
Who the fuck are you talking to? First.,who do you think you're talking to?
"Open the damn door! -you can't change the past, james!","you can't change the past, James!"
"It's too late, fat ass.",it's too late.
Shut Up!,quiet!
Stay the fuck where you are !,stay where you are!
Fucking Richmond.,it's Richmond!
These guys know how that shit works.,these guys know how this works.
"You think you're hot shit ex-soldiers, big fucking heroes.","you think you're a great ex-soldier, big heroes."
What the fuck are you?,what do you want?
You don't want to do that shit.,you wouldn't want to do that.
Who cares about being Jane and Brad's stupid couples friends if we can be Max and Grant's stupid couples friends?,who would want to be friends with Jane and Brad when we can really be friends with Max and Grant?
"Fuck! Right, we take yours.","all right, we're taking yours."
bullshit because there is no such animal.,there's no such thing as an animal.
"Is this your place, you bastard?","is that your place, man?"
Fuck!,"oh, God!"
Kelly's not here either. Shit.,Kelly's not here either.
I don't know what this fucking shit means.,I don't know what that means.
He's right behind you! Little bastard!,"hurry, he's right behind you!"
I see. - I'll play the shit everybody like.,I'll play what everyone likes.
Other people want idiotic crap like getting married... or having babies with the man that they've loved for five years.,"others want such idealistic things as a wedding, or children with a man they've loved for five years."
You buy my shit every fucking day.,you buy goods from me every day.
Traffic incident? Bullshit!,a traffic accident?
"Fuck, Mire, please...","come on, Mire, please."
"You know, I kinda missed your stupid puns.","you know, I kind of missed your jokes."
Remember that shit?,do you remember the blip?
What do you call this shit?,what's this place called?
Damn Boscogn...,"well, Boscogno..."
